ID,publisher,publishedCount,avgCitation
S4363607701,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),80,219.98749999999993
S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),41,88.63414634146342
S4363607734,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),37,28.189189189189193
S4363607759,2022 International Conference on Robotics and Automation (ICRA),12,58.33333333333333
S4363607748,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),7,52.85714285714286
S4363607979,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),7,37.857142857142854
S4363607737,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),6,14.166666666666668
S4363605370,2022 IEEE Intelligent Vehicles Symposium (IV),5,6.8
S4363607846,2021 IEEE International Conference on Robotics and Biomimetics (ROBIO),5,2.4
S4363607719,2022 IEEE International Conference on Image Processing (ICIP),4,10.25
S4363608757,Proceedings of the 30th ACM International Conference on Multimedia,3,27.666666666666668
S4363607832,2022 IEEE International Conference on Mechatronics and Automation (ICMA),2,2.0
S4363605592,2022 IEEE/SICE International Symposium on System Integration (SII),2,3.0
S4363608086,2021 IEEE International Conference on Unmanned Systems (ICUS),2,2.5
S4363608458,2021 International Conference on 3D Vision (3DV),2,14.0
S4363607711,ICC 2022 - IEEE International Conference on Communications,1,10.0
S4363607892,2022 IEEE 18th International Conference on Automation Science and Engineering (CASE),1,10.0
S4363607959,2023 IEEE International Conference on Consumer Electronics (ICCE),1,4.0
S4363607939,"2022 12th International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)",1,7.0
S4363607731,2022 26th International Conference on Pattern Recognition (ICPR),1,27.0
