ID,publisher,publishedCount,avgCitation
S4210169774,IEEE Robotics and Automation Letters,75,52.94666666666666
S2485537415,IEEE Access,38,32.921052631578945
S101949793,Sensors,37,37.891891891891895
S144771191,IEEE Transactions on Intelligent Transportation Systems,36,62.66666666666667
S4210199657,IEEE Transactions on Intelligent Vehicles,20,32.050000000000004
S43295729,Remote Sensing,18,42.388888888888886
S189694085,IEEE Sensors Journal,18,29.11111111111111
S10892749,IEEE Transactions on Instrumentation and Measurement,17,25.882352941176467
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,17,106.76470588235293
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,16,49.25
S144620930,IEEE Transactions on Robotics,15,163.73333333333335
S13144211,Expert Systems with Applications,9,38.55555555555556
S45693802,Neurocomputing,9,29.000000000000004
S173339282,ISPRS Journal of Photogrammetry and Remote Sensing,7,48.57142857142857
S91329792,Journal of Intelligent & Robotic Systems,6,20.833333333333332
S111326731,IEEE Transactions on Geoscience and Remote Sensing,6,53.0
S133768115,Robotics and Autonomous Systems,6,16.333333333333332
S144091109,Autonomous Robots,5,62.8
S900972176,Engineering Applications of Artificial Intelligence,5,46.0
S25538012,International Journal of Computer Vision,5,166.4
