ID,publisher,hIndex
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,542
S4306417987,Computer Vision and Pattern Recognition,533
S4363607701,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),384
S4210173141,IEEE Transactions on Image Processing,380
S4306419272,International Conference on Computer Vision,371
S2485537415,IEEE Access,326
S185367456,ACM Transactions on Graphics,314
S4306419250,International Conference on Computer Graphics and Interactive Techniques,309
S101949793,Sensors,306
S414566,Pattern Recognition,298
S25538012,International Journal of Computer Vision,285
S4363607795,2009 IEEE Conference on Computer Vision and Pattern Recognition,279
S4306419799,International Conference on Robotics and Automation,274
S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),260
S73484101,The International Journal of Robotics Research,254
S144771191,IEEE Transactions on Intelligent Transportation Systems,245
S172073041,Automation in Construction,224
S173339282,ISPRS Journal of Photogrammetry and Remote Sensing,221
S144620930,IEEE Transactions on Robotics,219
S193624734,IEEE Transactions on Aerospace and Electronic Systems,218
S151820558,Pattern Recognition Letters,216
S116420536,IEEE Transactions on Robotics and Automation,213
S4210170378,IEEE Transactions on Systems Man and Cybernetics Part B (Cybernetics),201
S84775595,IEEE Transactions on Visualization and Computer Graphics,199
S4210205812,Applied Sciences,196
S10892749,IEEE Transactions on Instrumentation and Measurement,187
S189694085,IEEE Sensors Journal,186
S177430994,Image and Vision Computing,179
S4306463447,InTech eBooks,177
S185008460,Computer Vision and Image Understanding,176
S13961689,IEEE/ASME Transactions on Mechatronics,175
S99003644,Photogrammetric Engineering & Remote Sensing,173
S133768115,Robotics and Autonomous Systems,172
S122814990,Artificial Intelligence Review,170
S126920919,IEEE Geoscience and Remote Sensing Letters,166
S67831204,Computer Graphics Forum,164
S4306419523,International Conference on Image Processing,160
S147767848,Measurement,159
S144091109,Autonomous Robots,149
S4363608614,2011 IEEE/RSJ International Conference on Intelligent Robots and Systems,147
S4210227557,IEEE Transactions on Systems Man and Cybernetics Part C (Applications and Reviews),144
S4210213233,Science Robotics,144
S4210169774,IEEE Robotics and Automation Letters,136
S34881539,IEEE Transactions on Automation Science and Engineering,135
S163019073,AI Magazine,135
S151299380,Journal of Field Robotics,131
S4210202905,Electronics,129
S4363607734,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),124
S4210212310,Computer Vision Graphics and Image Processing,124
S132261465,IEEE Robotics & Automation Magazine,123
