ID,name,hIndex,lastInstitution,numberOfWorkInTopic
A5083003222,Roland Siegwart,121,ETH Zurich,680
A5084499878,Wolfram Burgard,114,University of Technology Nuremberg,398
A5021908609,Marc Pollefeys,108,ETH Zurich,394
A5078340555,Michael Milford,45,Queensland University of Technology,319
A5046896448,Nassir Navab,103,Technical University of Munich,318
A5001254143,Luc Van Gool,172,ETH Zurich,297
A5011166267,Cyrill Stachniss,69,University of Bonn,285
A5057116316,Davide Scaramuzza,99,University of Zurich,255
A5027761977,Sven Behnke,51,University of Bonn,244
A5021531143,Max Q.‐H. Meng,63,Los Alamos National Laboratory,229
A5110293164,John J. Leonard,77,Massachusetts Institute of Technology,227
A5087710605,Daniel Cremers,103,Technical University of Munich,221
A5075246991,Martial Hebert,103,Carnegie Mellon University,217
A5032584934,Sebastian Scherer,47,Carnegie Mellon University,208
A5100707660,Yunhui Liu,53,Chinese University of Hong Kong,206
A5091185859,Gamini Dissanayake,50,Informatics Institute of Technology,203
A5059521863,Hyun Myung,36,Korea Advanced Institute of Science and Technology,198
A5037712031,François Chaumette,57,Université de Rennes,198
A5037712031,François Chaumette,57,Institut de Recherche en Informatique et Systèmes Aléatoires,198
A5037712031,François Chaumette,57,Centre National de la Recherche Scientifique,198
A5100347785,Ming Liu,62,Tongji University,194
A5001947944,Shaojie Shen,55,University of Hong Kong,194
A5001947944,Shaojie Shen,55,Hong Kong University of Science and Technology,194
A5080187476,Peter Corke,73,Queensland University of Technology,194
A5080187476,Peter Corke,73,Australian Centre for Robotic Vision,194
A5004788089,Timothy D. Barfoot,40,University of Toronto,188
A5016258462,Katsushi Ikeuchi,73,Robotics Research (United States),186
A5016258462,Katsushi Ikeuchi,73,Microsoft (United States),186
A5089444805,Ian Reid,93,The University of Adelaide,185
A5089444805,Ian Reid,93,Australian Centre for Robotic Vision,185
A5089444805,Ian Reid,93,Mohamed bin Zayed University of Artificial Intelligence,185
A5004194238,Dinesh Manocha,90,"University of Maryland, College Park",185
A5077367921,Gaurav S. Sukhatme,84,Southern California University for Professional Studies,184
A5077367921,Gaurav S. Sukhatme,84,University of Southern California,184
A5087336025,Frank Dellaert,66,Georgia Institute of Technology,182
A5071725508,Jun Miura,34,Toyohashi University of Technology,182
A5066237365,Henrik I. Christensen,58,"University of California, San Diego",180
A5042157108,Luca Carlone,48,Massachusetts Institute of Technology,178
A5108137333,Andrew J. Davison,67,New South Wales Department of Health,171
A5005819073,Hideo Saitô,33,Keio University,171
A5021260328,Atsushi Yamashita,32,The University of Tokyo,166
A5113992144,Andreas Nüchter,42,University of Würzburg,166
A5066710774,Sebastian Thrun,137,Stanford University,165
A5004958444,Andreas Zell,56,University of Tübingen,163
A5004362037,Éric Marchand,40,Institut national de recherche en sciences et technologies du numérique,162
A5004362037,Éric Marchand,40,Centre National de la Recherche Scientifique,162
A5004362037,Éric Marchand,40,Université de Rennes,162
A5004362037,Éric Marchand,40,Institut de Recherche en Informatique et Systèmes Aléatoires,162
A5061250474,Shoudong Huang,38,University of Technology Sydney,162
A5087021192,Vijay Kumar,103,Brown University,159
