ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,38
F4320335777,National Key Research and Development Program of China,503,10
F4320335787,Fundamental Research Funds for the Central Universities,428,5
F4320321091,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,282,3
F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,336,3
F4320321543,China Postdoctoral Science Foundation,421,2
F4320334627,Engineering and Physical Sciences Research Council,461,2
F4320320879,Deutsche Forschungsgemeinschaft,566,2
F4320332180,Defense Advanced Research Projects Agency,327,2
F4320322120,National Research Foundation of Korea,445,2
F4320337345,Office of Naval Research,397,2
F4320306101,National Aeronautics and Space Administration,364,2
F4320322769,Natural Science Foundation of Jiangsu Province,328,1
F4320321881,Shanghai Municipal Education Commission,202,1
F4320322795,"Ministry of Science and Technology, Taiwan",285,1
F4320322265,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",16,1
F4320325831,Handong Global University,9,1
F4320321108,Academy of Finland,299,1
F4320311028,Natural Science Foundation of Xinjiang Province,63,1
F4320338294,Air Force Research Laboratory,156,1
F4320334593,Natural Sciences and Engineering Research Council of Canada,478,1
F4320324638,Wuhan University of Technology,100,1
F4320338468,Basic Public Welfare Research Program of Zhejiang Province,44,1
F4320326705,"Science, Technology and Innovation Commission of Shenzhen Municipality",172,1
F4320335086,Direction Générale de l’Armement,74,1
F4320335480,Guangzhou Municipal Science and Technology Project,100,1
F4320309480,Nvidia,127,1
F4320326084,Regione Toscana,72,1
F4320326441,Institute for Basic Science,164,1
F4320334879,Korea Evaluation Institute of Industrial Technology,106,1
F4320321034,New Energy and Industrial Technology Development Organization,154,1
F4320322437,National Science and Technology Development Agency,116,1
F4320336744,Science and Technology Program of Hubei Province,35,1
F4320315144,MathWorks,35,1
F4320315072,Mitsubishi Electric Research Laboratories,20,1
F4320325902,Beijing Municipal Science and Technology Commission,195,1
F4320320671,National Research Foundation,228,1
F4320329791,Shenzhen Fundamental Research Program,95,1
F4320322064,Korea Institute for Advancement of Technology,91,1
F4320337111,Basic and Applied Basic Research Foundation of Guangdong Province,121,1
F4320332999,Horizon 2020 Framework Programme,304,1
F4320334764,Japan Society for the Promotion of Science,407,1
F4320316037,Instituto Tecnológico Vale,29,1
F4320321885,Science and Technology Commission of Shanghai Municipality,294,1
F4320337504,Research and Development,139,1
F4320335209,Bio-oriented Technology Research Advancement Institution,62,1
F4320334978,Beijing Nova Program,174,1
F4320324499,Università di Pisa,84,1
F4320323172,Natural Science Foundation of Chongqing,153,1
F4320323668,Wojskowa Akademia Techniczna,30,1
