ID,name,country,hIndex,workCountInTopic
I166825849,Tampere University,FI,428,459
I150229711,University of Electronic Science and Technology of China,CN,346,1513
I107077323,Worcester Polytechnic Institute,US,267,193
I189268942,Universidad de Alcalá,ES,253,249
I139759216,Beijing University of Posts and Telecommunications,CN,241,1526
I108468826,Stevens Institute of Technology,US,238,189
I41198531,Nanjing University of Posts and Telecommunications,CN,229,723
I152815399,Singapore University of Technology and Design,SG,216,241
I151727225,Harbin Engineering University,CN,215,962
I4210116924,"Chinese University of Hong Kong, Shenzhen",CN,203,215
I4210118728,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,CN,177,322
I4210159266,Mitsubishi Electric (United States),US,163,121
I4210143601,Decision Systems (United States),US,163,94
I51768193,Royal Military College of Canada,CA,156,135
I10535382,Chongqing University of Posts and Telecommunications,CN,154,601
I890469752,Ministry of Industry and Information Technology,CN,148,261
I1291458624,Swedish Defence Research Agency,SE,146,82
I4210166615,INESC TEC,PT,136,145
I158809036,Shenzhen Institute of Information Technology,CN,130,94
I4210163363,PLA Army Engineering University,CN,128,332
I4210127558,Australian Centre for Robotic Vision,AU,127,80
I28490864,DSO National Laboratories,SG,124,39
I4210105054,Christian Doppler Laboratory for Thermoelectricity,AT,120,43
I4391767838,State Key Laboratory of Industrial Control Technology,,116,142
I4210121626,Signal Processing (United States),US,115,87
I94518387,Hanoi University of Science and Technology,VN,114,149
I33876163,Finnish Geospatial Research Institute,FI,112,124
I4210087295,Centre Tecnologic de Telecomunicacions de Catalunya,ES,111,135
I4210099069,Institute of Acoustics,CN,109,246
I4210136859,Xi’an University of Posts and Telecommunications,CN,108,213
I16362100,Rafael Advanced Defense Systems (Israel),IL,107,39
I2801036362,Agency for Defense Development,KR,103,170
I32619867,Egypt-Japan University of Science and Technology,EG,100,105
I4210145102,Institut Polytechnique de Paris,FR,98,131
I4210100607,"Institute of Electronics, Computer and Telecommunication Engineering",IT,97,123
I180662265,China Mobile (China),CN,96,192
I4210145666,Embedded Systems (United States),US,96,43
I4210120115,Robert Bosch (United States),US,95,26
I4210166603,Jinling Institute of Technology,CN,89,60
I4387153010,Telecom SudParis,,89,100
I4210099586,Shenzhen Research Institute of Big Data,CN,88,112
I1342391420,NATO Centre for Maritime Research and Experimentation,IT,86,48
I14316845,National Electronics and Computer Technology Center,TH,86,83
I4210123571,Huawei Technologies (France),FR,84,45
I4210087059,Technology Innovation Institute,AE,79,68
I4210133173,Research!America (United States),US,78,22
I4210125392,Centre for Automation and Robotics,ES,77,64
I2800372957,China Electronics Technology Group Corporation,CN,76,208
I4210155350,Purple Mountain Laboratories,CN,74,147
I4210086894,"Research Center for Information Technology Innovation, Academia Sinica",TW,70,52
