ID,publisher,publishedCount,avgCitation
S4210169774,IEEE Robotics and Automation Letters,19,81.4736842105263
S2485537415,IEEE Access,10,89.0
S101949793,Sensors,7,36.857142857142854
S144771191,IEEE Transactions on Intelligent Transportation Systems,7,50.857142857142854
S43295729,Remote Sensing,5,67.6
S144620930,IEEE Transactions on Robotics,5,249.8
S189694085,IEEE Sensors Journal,5,45.6
S10936095,IEEE Transactions on Vehicular Technology,4,31.25
S10892749,IEEE Transactions on Instrumentation and Measurement,3,22.0
S42167783,IEEE Journal of Selected Topics in Signal Processing,2,37.0
S4210199657,IEEE Transactions on Intelligent Vehicles,2,10.0
S900972176,Engineering Applications of Artificial Intelligence,2,89.0
S147767848,Measurement,2,18.5
S133768115,Robotics and Autonomous Systems,2,34.5
S58031724,IEEE Transactions on Industrial Electronics,2,25.0
S13144211,Expert Systems with Applications,2,5.0
S73484101,The International Journal of Robotics Research,2,41.5
S2488537894,IEEE Transactions on Cognitive and Developmental Systems,1,3.0
S4210188901,Journal of Global Positioning Systems,1,11.0
S4210202905,Electronics,1,10.0
