ID,publisher,publishedCount,avgCitation
S144771191,IEEE Transactions on Intelligent Transportation Systems,22,122.22727272727275
S10936095,IEEE Transactions on Vehicular Technology,10,57.300000000000004
S2485537415,IEEE Access,8,24.75
S4210199657,IEEE Transactions on Intelligent Vehicles,7,89.42857142857143
S4210202905,Electronics,5,11.4
S101949793,Sensors,5,17.2
S4210169774,IEEE Robotics and Automation Letters,3,21.0
S4210175523,IEEE Transactions on Neural Networks and Learning Systems,3,78.66666666666667
S34881539,IEEE Transactions on Automation Science and Engineering,3,78.33333333333333
S64511102,Transportation Research Part C Emerging Technologies,3,86.33333333333333
S157921468,ACM Computing Surveys,3,97.66666666666667
S4210178771,"SAE International journal of vehicle dynamics, stability, and NVH",3,30.333333333333332
S607880,Engineering Computations,2,17.5
S4387280094,Green Energy and Intelligent Transportation,2,15.5
S4210183804,Automotive Innovation,2,8.0
S110206669,Multimedia Tools and Applications,2,75.5
S24688465,Physica A Statistical Mechanics and its Applications,2,52.5
S2484288132,IEEE/CAA Journal of Automatica Sinica,2,54.5
S58031724,IEEE Transactions on Industrial Electronics,1,107.0
S189694085,IEEE Sensors Journal,1,23.0
