ID,name,hIndex,lastInstitution,numberOfWorkInTopic
A5077352940,Serge P. Hoogendoorn,71,Delft University of Technology,469
A5071405020,Markos Papageorgiou,70,Technical University of Crete,429
A5071405020,Markos Papageorgiou,70,Ningbo University,429
A5026147899,Hani S. Mahmassani,78,Northwestern University,255
A5060394098,Bin Ran,51,Southeast University,249
A5060394098,Bin Ran,51,The Synergetic Innovation Center for Advanced Materials,249
A5030507508,Bart van Arem,56,Delft University of Technology,248
A5040847417,Mohamed Abdel‐Aty,91,University of Central Florida,238
A5031855986,Keqiang Li,60,Tsinghua University,220
A5026547410,Bart De Schutter,70,Delft University of Technology,217
A5021116704,Alexandre M. Bayen,57,"University of California, Berkeley",205
A5083695605,Henry Liu,60,Shanghai Medical College of Fudan University,194
A5008443531,Steven E Shladover,46,Program for Appropriate Technology in Health,192
A5012268687,Yinhai Wang,61,University of Washington,184
A5024236037,Martin Treiber,53,Technische Universität Dresden,184
A5077257353,Matthew Barth,60,"University of California, Riverside",180
A5085370411,Ioannis Papamichail,41,Technical University of Crete,175
A5061160911,Dirk Helbing,104,ETH Zurich,169
A5062319704,Jian Sun,39,China Three Gorges University,166
A5024990133,Michael Schreckenberg,56,Baxter (Germany),157
A5018966930,Srinivas Peeta,52,Georgia Institute of Technology,155
A5114911316,Li Li,56,Beihang University,155
A5006183071,Guoyuan Wu,38,"University of California, Riverside",151
A5023161433,Jorge Laval,36,Georgia Institute of Technology,150
A5100436368,Jianqiang Wang,45,Anhui East China Institute of Optoelectronic Technology (China),144
A5100747108,Shengbo Eben Li,68,Tsinghua University,144
A5029085275,Moshe Ben‐Akiva,90,Massachusetts Institute of Technology,138
A5064077634,Masayoshi Tomizuka,89,Systems Control (United States),131
A5064077634,Masayoshi Tomizuka,89,"University of California, Berkeley",131
A5060841903,Daiheng Ni,29,University of Massachusetts Amherst,128
A5100693187,Meng Wang,43,National University of Defense Technology,127
A5072073374,Chen Lv,64,Wuhan University,125
A5018605480,Winnie Daamen,43,Delft University of Technology,123
A5044366009,Péter Wagner,39,Technische Universität Berlin,122
A5044366009,Péter Wagner,39,Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR),122
A5113600509,Fei‐Yue Wang,95,Hiroshima University,120
A5023224451,Xiao‐Yun Lu,33,Guangxi University,119
A5064394634,Guodong Yin,40,Southeast University,116
A5043415749,Gábor Orosz,36,University of Michigan,116
A5031111706,Jia Hu,31,Tongji University,114
A5038755734,Péter Gáspár,25,Institute for Computer Science and Control,112
A5038755734,Péter Gáspár,25,Budapest University of Technology and Economics,112
A5009464945,Haris N. Koutsopoulos,56,Northeastern University,111
A5100764159,Yongfu Li,32,Chongqing University of Posts and Telecommunications,109
A5014661259,Ching‐Yao Chan,37,"University of California, Berkeley",108
A5035138204,Ge Guo,50,Shenyang University of Chemical Technology,104
A5007210426,Baher Abdulhai,33,University of Toronto,102
A5028278516,Kay W. Axhausen,80,ETH Zurich,102
A5024559779,Ümi̇t Özgüner,51,The Ohio State University,101
A5055356431,Tony Z. Qiu,19,Yanshan University,99
