ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,22
F4320335777,National Key Research and Development Program of China,503,10
F4320335787,Fundamental Research Funds for the Central Universities,428,3
F4320337504,Research and Development,139,2
F4320320879,Deutsche Forschungsgemeinschaft,566,2
F4320321543,China Postdoctoral Science Foundation,421,2
F4320306076,National Science Foundation,783,2
F4320337345,Office of Naval Research,397,1
F4320335773,National High-tech Research and Development Program,133,1
F4320322725,China Scholarship Council,394,1
F4320327518,Priority Academic Program Development of Jiangsu Higher Education Institutions,269,1
F4320334631,Natural Environment Research Council,290,1
F4320330170,Young Elite Scientists Sponsorship Program by Tianjin,47,1
F4320317106,Sony,20,1
F4320322392,Tsinghua University,164,1
F4320321940,Harbin Institute of Technology,134,1
F4320335833,National Defense Basic Scientific Research Program of China,65,1
F4320322429,Northeastern University,89,1
F4320334627,Engineering and Physical Sciences Research Council,461,1
F4320334704,Australian Research Council,494,1
F4320320709,National Research Foundation Singapore,304,1
F4320336350,Key Research and Development Projects of Shaanxi Province,77,1
F4320322857,Aeronautical Science Foundation of China,119,1
F4320328359,"Ministry of Science and ICT, South Korea",129,1
F4320329860,National Science and Technology Major Project,101,1
F4320327912,Higher Education Discipline Innovation Project,245,1
F4320338335,H2020 European Research Council,391,1
F4320321540,Ministry of Science and Technology of the People's Republic of China,501,1
F4320335960,National Major Science and Technology Projects of China,122,1
F4320322847,Youth Innovation Promotion Association of the Chinese Academy of Sciences,268,1
F4320326178,Heilongjiang Provincial Postdoctoral Science Foundation,88,1
F4320335843,Beijing Science and Technology Planning Project,63,1
F4320320698,National University of Singapore,234,1
F4320327001,State Key Laboratory of Robotics and System,70,1
F4320330944,Nature,22,1
F4320334874,Defense Acquisition Program Administration,62,1
F4320336567,Natural Science Basic Research Program of Shaanxi Province,87,1
