ID,paperTitle,year,publisher,citationCount
W4200150166,NeRF,2021,Communications of the ACM,3071
W3153465022,PCT: Point cloud transformer,2021,Computational Visual Media,1458
W4214755140,Point Transformer,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),1423
W3177280664,PREDATOR: Registration of 3D Point Clouds with Low Overlap,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),452
W4312270234,Point-BERT: Pre-training 3D Point Cloud Transformers with Masked Point Modeling,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),444
W3177330511,Cylindrical and Asymmetrical 3D Convolution Networks for LiDAR Segmentation,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),401
W4214624153,An End-to-End Transformer Model for 3D Object Detection,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),359
W3166470370,3D Object Detection with Pointformer,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),357
W4312934050,Not All Points Are Equal: Learning Highly Efficient Point-based Detectors for 3D LiDAR Point Clouds,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),261
W4313154783,Dense Depth Priors for Neural Radiance Fields from Sparse Input Views,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),233
W4313031684,Mega-NeRF: Scalable Construction of Large-Scale NeRFs for Virtual Fly- Throughs,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),230
W4214526701,Group-Free 3D Object Detection via Transformers,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),214
W3119708198,Self-Supervised Pretraining of 3D Features on any Point-Cloud,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),213
W3137210930,RPVNet: A Deep and Efficient Range-Point-Voxel Fusion Network for LiDAR Point Cloud Segmentation,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),210
W3205586691,Point Transformer,2021,IEEE Access,200
W3183092879,Neural Scene Graphs for Dynamic Scenes,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),186
W4312903973,Surface Representation for Point Clouds,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),176
W4312414163,2DPASS: 2D Priors Assisted Semantic Segmentation on LiDAR Point Clouds,2022,Lecture notes in computer science,174
W4306175953,Point Transformer V2: Grouped Vector Attention and Partition-based Pooling,2022,arXiv (Cornell University),161
W4312546175,Voxel Set Transformer: A Set-to-Set Approach to 3D Object Detection from Point Clouds,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),157
