ID,publisher,publishedCount,avgCitation
S4363607701,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),28,144.46428571428572
S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),11,241.4545454545455
S4363607734,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),4,38.75
S4363608757,Proceedings of the 30th ACM International Conference on Multimedia,1,43.0
S4363604230,2021 China Automation Congress (CAC),1,2.0
S4363605370,2022 IEEE Intelligent Vehicles Symposium (IV),1,2.0
S4363607759,2022 International Conference on Robotics and Automation (ICRA),1,22.0
S4363608458,2021 International Conference on 3D Vision (3DV),1,28.0
S4363606568,2022 IEEE 65th International Midwest Symposium on Circuits and Systems (MWSCAS),1,6.0
S4363607719,2022 IEEE International Conference on Image Processing (ICIP),1,14.0
