ID,publisher,publishedCount,avgCitation
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,6,44.0
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,5,58.6
S2485537415,IEEE Access,3,74.0
S414566,Pattern Recognition,2,62.5
S10169007,Knowledge-Based Systems,2,69.0
S137030581,IEEE Transactions on Multimedia,2,4.5
S45693802,Neurocomputing,2,22.5
S103482838,Communications of the ACM,1,3071.0
S140111354,The Photogrammetric Record,1,5.0
S13144211,Expert Systems with Applications,1,20.0
S104439334,Artificial Life and Robotics,1,20.0
S151820558,Pattern Recognition Letters,1,1.0
S2736465063,Journal of Imaging,1,15.0
S144771191,IEEE Transactions on Intelligent Transportation Systems,1,4.0
S73060445,The Visual Computer,1,13.0
S74726891,Applied Intelligence,1,9.0
S25538012,International Journal of Computer Vision,1,68.0
S4210194089,Journal of WSCG,1,7.0
S2487656537,Computational Visual Media,1,1458.0
S4210175523,IEEE Transactions on Neural Networks and Learning Systems,1,96.0
