ID,name,hIndex,lastInstitution,numberOfWork
A5052856441,Jiaya Jia,102,Hong Kong University of Science and Technology,3
A5052856441,Jiaya Jia,102,University of Hong Kong,3
A5083849742,Ben Mildenhall,35,Google (United States),2
A5024117395,Jonathan T. Barron,66,Google (United States),2
A5001254143,Luc Van Gool,172,ETH Zurich,2
A5100620306,Jie Zhou,78,Shandong University,2
A5061519579,Pratul P. Srinivasan,39,DeepMind (United Kingdom),2
A5036921959,Qingyong Hu,20,Hong Kong University of Science and Technology,2
A5100732450,Hongsheng Li,92,Guangzhou Medical University,2
A5036921959,Qingyong Hu,20,University of Hong Kong,2
A5041457457,Hang Xu,31,University of Chinese Academy of Sciences,2
A5100460385,Jiwen Lu,87,Tsinghua University,2
A5061519579,Pratul P. Srinivasan,39,Google (United States),2
A5024117395,Jonathan T. Barron,66,University of Maine,2
A5065368881,Leonidas Guibas,126,Stanford University,1
A5042899882,Philip H. S. Torr,95,University of Oxford,1
A5035587843,Guofeng Tong,13,Northeastern University,1
A5101546753,Gangshan Wu,37,Nanjing University,1
A5039387461,Shuaicheng Liu,41,University of Electronic Science and Technology of China,1
A5011274467,Jian Yao,33,"City University of Hong Kong, Shenzhen Research Institute",1
A5025638024,Žan Gojčič,18,ETH Zurich,1
A5011274467,Jian Yao,33,Wuhan University,1
A5005698588,Bingbing Liu,23,Huawei Technologies (Canada),1
A5084218062,Lizhuang Ma,46,Shanghai Jiao Tong University,1
A5100346548,Ye Liu,19,Harbin Engineering University,1
A5048056956,Yanxin Ma,12,National University of Defense Technology,1
A5087798118,Xiaoqing Ye,26,Baidu (China),1
A5072177890,Xiaoxiao Long,14,University of Hong Kong,1
A5072177890,Xiaoxiao Long,14,Nanjing University,1
A5072177890,Xiaoxiao Long,14,Hong Kong University of Science and Technology,1
A5039611354,Bo Yang,31,Hong Kong Polytechnic University,1
A5010087030,Dahua Lin,83,Chinese University of Hong Kong,1
A5083443210,Shaoshuai Shi,22,Voyager Therapeutics (United States),1
A5080852978,Hang Dai,22,Zhengzhou University,1
A5081024054,Dragomir Anguelov,47,Nomor Research (Germany),1
A5100784734,Xin Tong,65,Gannan Normal University,1
A5083443210,Shaoshuai Shi,22,Didi Chuxing (China),1
A5011264729,Ralph R. Martin,33,Cardiff University,1
A5100758949,Ze Yang,13,University of Toronto,1
A5010087030,Dahua Lin,83,Shanghai Artificial Intelligence Laboratory,1
A5034754633,Ravi Ramamoorthi,77,Nvidia (United States),1
A5034754633,Ravi Ramamoorthi,77,"University of California, San Diego",1
A5100444820,Xiaogang Wang,211,Peking University,1
A5050312737,Haggai Maron,23,Nvidia (United States),1
A5031455013,Fangzhou Hong,14,Nanyang Technological University,1
A5076518693,Jun Xiao,26,University of Chinese Academy of Sciences,1
A5004353237,Deva Ramanan,82,Carnegie Mellon University,1
A5058341556,Matthew Tancik,24,"University of California, Berkeley",1
A5101433884,Wenguan Wang,69,Zhejiang University,1
A5101460574,Hao Peng,7,Hunan Agricultural University,1
