ID,publisher,hIndex
S4306400194,arXiv (Cornell University),801
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,542
S4306417987,Computer Vision and Pattern Recognition,533
S4363607701,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),384
S4210173141,IEEE Transactions on Image Processing,380
S4306419272,International Conference on Computer Vision,371
S4306420609,Neural Information Processing Systems,361
S4306419644,International Conference on Machine Learning,325
S4306420508,Meeting of the Association for Computational Linguistics,302
S414566,Pattern Recognition,298
S25538012,International Journal of Computer Vision,285
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,282
S4363607795,2009 IEEE Conference on Computer Vision and Pattern Recognition,279
S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),260
S118988714,Journal of Machine Learning Research,258
S62148650,Machine Learning,251
S207023548,Neural Computation,248
S123019304,Neural Networks,244
S45693802,Neurocomputing,242
S4210191041,IEEE Transactions on Cybernetics,228
S4210175523,IEEE Transactions on Neural Networks and Learning Systems,226
S4306419999,International Joint Conference on Artificial Intelligence,224
S151820558,Pattern Recognition Letters,216
S115173108,IEEE Transactions on Circuits and Systems for Video Technology,213
S116571295,Medical Image Analysis,211
S10169007,Knowledge-Based Systems,209
S7560371,Information Fusion,195
S137030581,IEEE Transactions on Multimedia,183
S177430994,Image and Vision Computing,179
S185008460,Computer Vision and Image Understanding,176
S147897268,Neural Computing and Applications,173
S4306419637,International Conference on Learning Representations,170
S4363608757,Proceedings of the 30th ACM International Conference on Multimedia,122
S74726891,Applied Intelligence,122
S4363607748,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),114
S4306421103,Uncertainty in Artificial Intelligence,113
S4363607702,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",113
S2729999759,Transactions of the Association for Computational Linguistics,112
S4363607707,2022 International Joint Conference on Neural Networks (IJCNN),99
S4363607719,2022 IEEE International Conference on Image Processing (ICIP),96
S112262039,Multimedia Systems,89
S133078663,Cognitive Computation,83
S2764999920,International Journal of Machine Learning and Cybernetics,82
S140962798,Neural Processing Letters,81
S3035462843,Complex & Intelligent Systems,77
S4363607759,2022 International Conference on Robotics and Automation (ICRA),74
S4363607731,2022 26th International Conference on Pattern Recognition (ICPR),74
S4210210251,IEEE Transactions on Emerging Topics in Computational Intelligence,60
S4363607979,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),58
S2488537894,IEEE Transactions on Cognitive and Developmental Systems,58
