ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,17
F4320335777,National Key Research and Development Program of China,503,9
F4320321543,China Postdoctoral Science Foundation,421,4
F4320322120,National Research Foundation of Korea,445,4
F4320322795,"Ministry of Science and Technology, Taiwan",285,3
F4320306076,National Science Foundation,783,3
F4320327207,Electronic Components and Systems for European Leadership,52,2
F4320322769,Natural Science Foundation of Jiangsu Province,328,2
F4320332999,Horizon 2020 Framework Programme,304,2
F4320309618,Ministry of Science and Technology,165,2
F4320327777,Jiangsu Provincial Key Research and Development Program,100,2
F4320322930,Ministerio de Ciencia e Innovación,264,2
F4320337504,Research and Development,139,2
F4320335489,Institute for Information and Communications Technology Promotion,113,2
F4320326182,Six Talent Peaks Project in Jiangsu Province,145,2
F4320334704,Australian Research Council,494,2
F4320322919,Natural Science Foundation of Beijing Municipality,296,1
F4320332180,Defense Advanced Research Projects Agency,327,1
F4320334791,National Center of Competence in Research Affective Sciences - Emotions in Individual Behaviour and Social Processes,69,1
F4320338345,H2020 Transport,34,1
F4320321885,Science and Technology Commission of Shanghai Municipality,294,1
F4320321994,Hungarian Scientific Research Fund,169,1
F4320306233,Argosy Foundation,12,1
F4320311358,Budapesti Műszaki és Gazdaságtudományi Egyetem,42,1
F4320335598,Agencia Estatal de Investigación,132,1
F4320321408,Ministry of Education,241,1
F4320321759,Stiftelsen för Kunskaps- och Kompetensutveckling,58,1
F4320315062,"Ministerio de Ciencia, Innovación y Universidades",164,1
F4320309398,California Institute of Technology,123,1
F4320335507,Toyota Motor Europe,28,1
F4320335787,Fundamental Research Funds for the Central Universities,428,1
F4320334678,European Research Council,475,1
F4320322334,"Khalifa University of Science, Technology and Research",102,1
F4320338337,H2020 Marie Skłodowska-Curie Actions,245,1
F4320322114,Korea Aerospace Research Institute,28,1
F4320332178,National Institute of Standards and Technology,172,1
F4320335322,European Regional Development Fund,327,1
F4320321114,Bundesministerium für Bildung und Forschung,381,1
F4320326765,National Centre of Competence in Research Robotics,61,1
F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,446,1
F4320338468,Basic Public Welfare Research Program of Zhejiang Province,44,1
F4320322596,Tel Aviv University,64,1
F4320320300,European Commission,450,1
F4320326655,Xunta de Galicia,139,1
F4320321030,VINNOVA,151,1
F4320322030,"Ministry of Science, ICT and Future Planning",259,1
F4320334627,Engineering and Physical Sciences Research Council,461,1
F4320335254,Horizon 2020,246,1
F4320334977,Beijing Municipal Natural Science Foundation,135,1
F4320334789,Japan Science and Technology Agency,274,1
