ID,name,hIndex,lastInstitution,numberOfWorkInTopic
A5100428456,Qian Chen,82,Shanghai Jiao Tong University,128
A5090265161,Bahram Javidi,89,University of Connecticut,80
A5059313827,Felix Heide,45,Torc Robotics (United States),68
A5059313827,Felix Heide,45,Princeton University,68
A5074353153,Mohit Gupta,29,University of Wisconsin–Madison,63
A5012904339,Andrew Wallace,43,Heriot-Watt University,57
A5014044649,Gordon Wetzstein,75,Stanford University,52
A5100382142,Xiaolu Li,18,Beihang University,48
A5008175199,W. Brockherde,22,Fraunhofer Institute for Microelectronic Circuits and Systems,43
A5042676691,B.J. Hosticka,27,Fraunhofer Institute for Microelectronic Circuits and Systems,43
A5085054529,Klaus Dietmayer,51,Universität Ulm,39
A5033042071,Juha Hyyppä,84,Finnish Geospatial Research Institute,35
A5100306563,Shaokun Han,6,Beijing Institute of Technology,33
A5081128203,Oliver Cossairt,26,META Health,31
A5005908452,Song Zhang,63,Guangxi Yuchai Machinery Group (China),30
A5010635267,Derek D. Lichti,40,University of Calgary,30
A5059787539,Xiaodong Zeng,16,University of Science and Technology of China,29
A5081887945,M. Lescure,14,"École Nationale Supérieure d'Électrotechnique, d'Électronique, d'Informatique, d'Hydraulique et des Télécommunications",29
A5034472952,Craig Glennie,37,University of Houston,29
A5041096372,Xiaobin Xu,16,Hohai University,27
A5103937735,Werner Ritter,15,Mercedes-Benz (Germany),26
A5053008757,Uwe Stilla,49,Technical University of Munich,25
A5004788089,Timothy D. Barfoot,40,University of Toronto,25
A5100397932,Xia Wang,19,China Railway Group (China),25
A5044559850,Yong‐Hwa Park,22,Korea Advanced Institute of Science and Technology,24
A5073323145,Thierry Bosch,36,Institut National Polytechnique de Toulouse,24
A5026943179,Martin Vossiek,32,Friedrich-Alexander-Universität Erlangen-Nürnberg,24
A5039123611,Mario Bijelic,12,Princeton University,23
A5081275712,Norbert Pfeifer,55,TU Wien,23
A5057116316,Davide Scaramuzza,99,University of Zurich,23
A5074429265,William T. Freeman,113,Massachusetts Institute of Technology,22
A5113992144,Andreas Nüchter,42,University of Würzburg,22
A5022518982,Yeong Min Jang,35,Kookmin University,22
A5002336145,Pedro Arias,53,Universidade de Vigo,21
A5030610478,Stefan Muckenhuber,14,Virtual Vehicle Research GmbH (Austria),21
A5030610478,Stefan Muckenhuber,14,University of Graz,21
A5030610478,Stefan Muckenhuber,14,FH JOANNEUM University of Applied Sciences,21
A5100459890,Wood-Hi Cheng,36,National Chung Hsing University,20
A5100669891,Ming C. Wu,77,"University of California, Berkeley",20
A5109250181,Marc Rioux,32,University of Ottawa,20
A5070918132,Roderick Murray‐Smith,49,University of Glasgow,20
A5007938446,Stanley H. Chan,31,Purdue University West Lafayette,20
A5040944275,Reinhard Koch,47,Christian-Albrechts-Universität zu Kiel,19
A5091574711,Christoph Stiller,58,Karlsruhe Institute of Technology,19
A5018647935,Charles Toth,29,The Ohio State University,19
A5041300353,Zheng You,53,Huazhong University of Science and Technology,19
A5077550469,V.M. Brea,19,Universidade de Santiago de Compostela,18
A5100460011,Fu Zhang,34,Universidad del Noreste,17
A5043014786,Harri Kaartinen,56,Finnish Geospatial Research Institute,17
A5011826764,Olaf Schrey,9,Fraunhofer Institute for Microelectronic Circuits and Systems,17
