ID,name,country,hIndex,workCountInTopic
I177721651,Oakland University,US,250,208
I108403487,Warsaw University of Technology,PL,249,768
I127591826,University of Dayton,US,221,186
I133837150,University of Huddersfield,GB,202,211
I11559806,École Normale Supérieure Paris-Saclay,FR,195,233
I119449181,Technische Universität Ilmenau,DE,161,222
I4210088164,"Changchun Institute of Optics, Fine Mechanics and Physics",CN,159,519
I1302207122,Carl Zeiss (Germany),DE,154,124
I139084617,Hiroshima Institute of Technology,JP,154,46
I58236372,Ngee Ann Polytechnic,SG,151,46
I4210144662,Xi'an Institute of Optics and Precision Mechanics,CN,150,221
I4210101348,Centre Inria de l'Université Grenoble Alpes,FR,150,94
I169645620,Institut Pascal,FR,127,135
I4210110558,Xi'an Technological University,CN,118,263
I4210128284,"Institute of Optics and Electronics, Chinese Academy of Sciences",CN,93,505
I78675632,Beijing Information Science & Technology University,CN,92,178
I4210150884,Fondation Sophia Antipolis,FR,91,22
I2799391333,Centro de Investigaciones en Optica,MX,89,778
I4210115660,Fraunhofer Institute for Applied Optics and Precision Engineering,DE,85,215
I1320697193,Canon (Japan),JP,84,65
I124618812,Mathematics Research Center,MX,83,92
I4210093282,Institut de Robòtica i Informàtica Industrial,ES,83,38
I4210088543,Institut für Informationsverarbeitung,DE,79,51
I4210162136,National Institute of Metrology,CN,79,94
I57930482,Hiroshima City University,JP,77,83
I4210136953,"Laboratoire d’Électronique, Informatique et Image",FR,67,65
I4210089040,Beijing Institute of Optoelectronic Technology,CN,66,143
I4210111500,"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation",DE,65,95
I95053508,Nippon Institute of Technology,JP,62,55
I4210130914,Institute for Laser Technology in Medicine and Measurement Technique,DE,57,15
I927257375,ASML (Netherlands),NL,56,56
I4210148968,Metal Industries Research & Development Centre,TW,55,21
I4210151155,Academy of Opto-Electronics,CN,55,45
I4402554026,The Sense Innovation and Research Center,,50,12
I4210117848,Center for Engineering and Industrial Development,MX,50,23
I4210129677,London Vision Clinic,GB,45,3
I2799847335,Art Institute of Portland,US,45,6
I4210145192,Siemens (Belgium),BE,45,25
I4210147228,Chengdu Normal University,CN,44,32
I4210152705,Universidad Blas Pascal,AR,40,27
I4210162143,QED Technologies (United States),US,38,48
I4210119975,Beijing Institute of Power Machinery (China),CN,37,23
I4210148944,Dà-Jiāng Innovations Science and Technology (China),CN,34,13
I4210102208,Xsens (Netherlands),NL,33,3
I4210126639,Valeo (Ireland),IE,32,17
I4210120442,AVIC Optronics (China),CN,32,41
I4210139986,Microsoft (Switzerland),CH,31,6
I4391767905,State Key Laboratory of Digital Manufacturing Equipment and Technology,,31,10
I4210099297,Jilian Technology Group (China),CN,28,14
I4210129155,ASM Pacific Technology (China),HK,27,14
