ID,publisher,publishedCount,avgCitation
S144771191,IEEE Transactions on Intelligent Transportation Systems,3,37.333333333333336
S101949793,Sensors,3,17.333333333333332
S2485537415,IEEE Access,3,5.0
S4210205812,Applied Sciences,2,11.5
S10892749,IEEE Transactions on Instrumentation and Measurement,2,14.0
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,2,26.0
S115173108,IEEE Transactions on Circuits and Systems for Video Technology,2,20.0
S2487656537,Computational Visual Media,1,1458.0
S189694085,IEEE Sensors Journal,1,4.0
S7560371,Information Fusion,1,29.0
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,1,223.0
S201441698,Optik,1,5.0
S45693802,Neurocomputing,1,50.0
S178776955,Optics Express,1,15.0
S4210199657,IEEE Transactions on Intelligent Vehicles,1,59.0
S4210169774,IEEE Robotics and Automation Letters,1,13.0
