ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,25
F4320335777,National Key Research and Development Program of China,503,5
F4320334627,Engineering and Physical Sciences Research Council,461,3
F4320322795,"Ministry of Science and Technology, Taiwan",285,2
F4320335787,Fundamental Research Funds for the Central Universities,428,2
F4320320766,Nanyang Technological University,212,2
F4320336756,Tianjin Science and Technology Program,65,1
F4320327514,Beijing Institute of Technology Research Fund Program for Young Scholars,90,1
F4320327024,State Key Laboratory of Mechanical System and Vibration,50,1
F4320336754,Tianjin Research Innovation Project for Postgraduate Students,53,1
F4320321659,Shanghai Education Development Foundation,121,1
F4320321881,Shanghai Municipal Education Commission,202,1
F4320318799,"Honda Research Institute, USA",12,1
F4320322769,Natural Science Foundation of Jiangsu Province,328,1
F4320320751,Ministry of Education - Singapore,307,1
F4320328860,Magyarország Kormánya,36,1
F4320335833,National Defense Basic Scientific Research Program of China,65,1
F4320316529,Jaguar Land Rover,31,1
F4320326762,Nemzeti Kutatási Fejlesztési és Innovációs Hivatal,107,1
F4320332375,Jet Propulsion Laboratory,114,1
F4320309398,California Institute of Technology,123,1
F4320321709,"Ministry of Higher Education, Malaysia",230,1
F4320322120,National Research Foundation of Korea,445,1
F4320320279,University of Warwick,85,1
F4320328359,"Ministry of Science and ICT, South Korea",129,1
F4320320869,Robert Bosch Stiftung,77,1
F4320322064,Korea Institute for Advancement of Technology,91,1
F4320320879,Deutsche Forschungsgemeinschaft,566,1
F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,446,1
F4320317941,DENSO,5,1
F4320335803,Shenzhen Fundamental Research and Discipline Layout project,60,1
F4320321543,China Postdoctoral Science Foundation,421,1
F4320322922,Department of Science and Technology of Sichuan Province,152,1
F4320322186,Natural Science Foundation of Hubei Province,225,1
F4320323172,Natural Science Foundation of Chongqing,153,1
F4320306108,U.S. Department of Transportation,108,1
F4320306076,National Science Foundation,783,1
F4320326707,State Grid Corporation of China,93,1
F4320321091,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,282,1
F4320310112,Universiti Tun Hussein Onn Malaysia,61,1
F4320338336,H2020 Future and Emerging Technologies,121,1
F4320323085,Natural Science Foundation of Heilongjiang Province,176,1
F4320322327,Knut och Alice Wallenbergs Stiftelse,251,1
F4320335795,Science and Technology Planning Project of Guangdong Province,162,1
F4320327001,State Key Laboratory of Robotics and System,70,1
F4320321133,Chinese Academy of Sciences,439,1
F4320321655,Science and Technology Development Fund,114,1
