ID,name,country,hIndex,workCountInTopic
I1291425158,Google (United States),US,576,56
I4210100255,Beijing Academy of Artificial Intelligence,CN,123,54
I4210116723,Robotics Research (United States),US,127,30
I4210094879,Shandong Institute of Automation,CN,205,14
I4210143601,Decision Systems (United States),US,163,13
I4391768151,Toyota Research Institute,,110,12
I2252078561,Meta (Israel),IL,245,11
I4210135521,Max Planck Institute for Intelligent Systems,DE,262,11
I134446601,Berkeley College,US,282,9
I4401726824,Horizon Robotics (China),,51,7
I4210126639,Valeo (Ireland),IE,32,6
I1304085615,Nvidia (United Kingdom),GB,131,6
I4210127509,Vector Institute,CA,126,4
I4401726870,Didi Chuxing (China),,56,4
I4210112270,Qingdao Academy of Intelligent Industries,CN,62,3
I4210138446,Kion Group (Germany),DE,3,3
I917207718,Toyota Industries (United States),US,42,3
I4210151956,Robert Bosch (India),IN,65,3
I4210155582,Centre Universitaire de Mila,DZ,49,3
I4210122684,Sony Computer Science Laboratories,JP,132,2
I2946016260,Uber AI (United States),US,61,1
I4210091137,NetEase (China),CN,45,1
I4210153740,Berkeley Systems (United States),US,18,1
I4210122994,Akka Technologies (France),FR,19,1
I2800278093,Sony Corporation (United States),US,65,1
I4210155268,Salesforce (United States),US,75,1
I4401726997,Tusimple (United States),,7,1
