ID,publisher,publishedCount,avgCitation
S4210169774,IEEE Robotics and Automation Letters,6,26.333333333333332
S144771191,IEEE Transactions on Intelligent Transportation Systems,6,340.5
S4210175523,IEEE Transactions on Neural Networks and Learning Systems,6,108.16666666666667
S10936095,IEEE Transactions on Vehicular Technology,5,57.6
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,2,66.5
S101949793,Sensors,2,25.0
S131000621,IEEE Intelligent Transportation Systems Magazine,1,20.0
S4210193755,SAE International Journal of Connected and Automated Vehicles,1,11.0
S162583102,Science China Technological Sciences,1,11.0
S145649206,Intelligent Service Robotics,1,63.0
S13144211,Expert Systems with Applications,1,62.0
S189694085,IEEE Sensors Journal,1,15.0
S2736865057,Journal of Marine Science and Engineering,1,14.0
S157921468,ACM Computing Surveys,1,144.0
S64511102,Transportation Research Part C Emerging Technologies,1,209.0
S196139623,Artificial Intelligence,1,48.0
S161464388,Journal of Intelligent Manufacturing,1,161.0
S114241109,IEEE Intelligent Systems,1,74.0
S2595095599,Frontiers in Robotics and AI,1,2.0
S4210227358,Autonomous Intelligent Systems,1,88.0
