ID,publisher,hIndex
S4306420609,Neural Information Processing Systems,361
S4306419644,International Conference on Machine Learning,325
S196139623,Artificial Intelligence,304
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,282
S4306419799,International Conference on Robotics and Automation,274
S118988714,Journal of Machine Learning Research,258
S73484101,The International Journal of Robotics Research,254
S62148650,Machine Learning,251
S123019304,Neural Networks,244
S93787993,IEEE Transactions on Evolutionary Computation,242
S4210191041,IEEE Transactions on Cybernetics,228
S4210175523,IEEE Transactions on Neural Networks and Learning Systems,226
S4306419999,International Joint Conference on Artificial Intelligence,224
S144620930,IEEE Transactions on Robotics,219
S4306420577,National Conference on Artificial Intelligence,213
S4210170378,IEEE Transactions on Systems Man and Cybernetics Part B (Cybernetics),201
S133768115,Robotics and Autonomous Systems,172
S55826652,Mathematics of Operations Research,170
S4306419637,International Conference on Learning Representations,170
S4210209078,IEEE Transactions on Systems Man and Cybernetics Systems,167
S139930977,Journal of Artificial Intelligence Research,166
S144091109,Autonomous Robots,149
S4363608614,2011 IEEE/RSJ International Conference on Intelligent Robots and Systems,147
S4210213233,Science Robotics,144
S4210169774,IEEE Robotics and Automation Letters,136
S163019073,AI Magazine,135
S4363607734,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),124
S2912241403,Nature Machine Intelligence,124
S132261465,IEEE Robotics & Automation Magazine,123
S4306421103,Uncertainty in Artificial Intelligence,113
S91329792,Journal of Intelligent & Robotic Systems,113
S2484288132,IEEE/CAA Journal of Automatica Sinica,105
S168738021,International Journal of Social Robotics,101
S4363607707,2022 International Joint Conference on Neural Networks (IJCNN),99
S4210185684,Springer tracts in advanced robotics,97
S4363605370,2022 IEEE Intelligent Vehicles Symposium (IV),92
S5405189,Autonomous Agents and Multi-Agent Systems,91
S104797584,IEEE Computational Intelligence Magazine,91
S192584203,Advanced Robotics,86
S96254641,Cognitive Systems Research,85
S2595095599,Frontiers in Robotics and AI,80
S4210217939,Proceedings - IEEE International Conference on Robotics and Automation/Proceedings,77
S4363607759,2022 International Conference on Robotics and Automation (ICRA),74
S4210193350,Drones,70
S115606517,Frontiers in Neurorobotics,66
S4210201731,Frontiers in artificial intelligence and applications,64
S47930974,Genetic Programming and Evolvable Machines,63
S4210210251,IEEE Transactions on Emerging Topics in Computational Intelligence,60
S4363607724,2021 60th IEEE Conference on Decision and Control (CDC),60
S2488537894,IEEE Transactions on Cognitive and Developmental Systems,58
