ID,name,hIndex,lastInstitution,numberOfWork
A5100747108,Shengbo Eben Li,68,Tsinghua University,6
A5072073374,Chen Lv,64,Wuhan University,3
A5012295217,Zhiyu Huang,29,Nanyang Technological University,3
A5100735652,Pin Wang,18,China Metallurgical Geology Bureau,2
A5044215622,Jingda Wu,24,Hong Kong Polytechnic University,2
A5063634505,David Isele,16,Honda (United States),2
A5113600509,Fei‐Yue Wang,95,Hiroshima University,2
A5014661259,Ching‐Yao Chan,37,"University of California, Berkeley",2
A5101697324,Qi Sun,17,University of Science and Technology of China,2
A5064077634,Masayoshi Tomizuka,89,Systems Control (United States),2
A5064077634,Masayoshi Tomizuka,89,"University of California, Berkeley",2
A5015076162,John M. Dolan,40,Carnegie Mellon University,2
A5112719601,Xiao Wang,45,Shanghai University of Finance and Economics,2
A5046330057,Patrick Mannion,15,Ollscoil na Gaillimhe – University of Galway,1
A5101620888,Yujie Yang,10,Chinese Academy of Medical Sciences & Peking Union Medical College,1
A5055691206,Yuanyuan Shi,20,Shanghai University,1
A5045922629,Alessandro Farinelli,29,University of Verona,1
A5012004938,Biao Luo,33,Central South University,1
A5058298540,Enrico Marchesini,12,Massachusetts Institute of Technology,1
A5011531387,Esther Luna Colombini,13,Universidade Estadual de Campinas (UNICAMP),1
A5001594330,Peter Stone,79,The University of Texas at Austin,1
A5001594330,Peter Stone,79,Sony Corporation (United States),1
A5100336450,Long Chen,50,Universidade de Vigo,1
A5100336450,Long Chen,50,Guangxi University of Chinese Medicine,1
A5101620888,Yujie Yang,10,Third People's Hospital of Chengdu,1
A5101620888,Yujie Yang,10,Peking Union Medical College Hospital,1
A5037230603,Elmar Rueckert,12,Montanuniversität Leoben,1
A5101620888,Yujie Yang,10,Southwest Jiaotong University,1
A5021239979,Wei Zhan,55,Northwest A&F University,1
A5033444412,Bolei Zhou,67,"University of California, Los Angeles",1
A5056649746,W. Bradley Knox,20,Robert Bosch (United States),1
A5087158377,Junchi Yan,60,Shanghai Jiao Tong University,1
A5068326377,Mykel J. Kochenderfer,53,Stanford University,1
A5067909017,Jingliang Duan,16,University of Science and Technology Beijing,1
A5056649746,W. Bradley Knox,20,Google (United States),1
A5021699314,Yuming Yin,19,Peking University,1
A5056649746,W. Bradley Knox,20,The University of Texas at Austin,1
A5112249344,Kikuo Fujimura,39,Shinshu University,1
A5087667477,Liting Sun,21,University of Science and Technology of China,1
A5100380049,Jiayu Chen,10,ETH Zurich,1
A5019218502,Marcos R. O. A. Máximo,13,Instituto Tecnológico de Aeronáutica,1
A5019218502,Marcos R. O. A. Máximo,13,Vaughn College of Aeronautics and Technology,1
A5006181255,Vladlen Koltun,108,Intel (United States),1
A5031408324,Soon‐Jo Chung,42,California Institute of Technology,1
A5100640936,Bo Cheng,33,Tsinghua University,1
A5037048516,David Held,74,Carnegie Mellon University,1
A5101476556,Wenhui Huang,9,Nanyang Technological University,1
A5007325049,Yangang Ren,9,State Key Laboratory of Vehicle NVH and Safety Technology,1
A5046628126,Keuntaek Lee,9,Georgia Institute of Technology,1
A5110796636,Davide Corsi,9,University of Verona,1
