ID,name,hIndex,lastInstitution,numberOfWorkInTopic
A5026322200,Sergey Levine,131,"University of California, Berkeley",589
A5049349154,Pieter Abbeel,139,"University of California, Berkeley",399
A5049349154,Pieter Abbeel,139,Berkeley College,399
A5071367253,Jan Peters,80,Technical University of Darmstadt,368
A5001594330,Peter Stone,79,Sony Corporation (United States),359
A5001594330,Peter Stone,79,The University of Texas at Austin,359
A5070914351,Matthew E. Taylor,45,University of Alberta,194
A5009722403,Michael L. Littman,76,AbbVie (United States),187
A5016137188,Frank L. Lewis,130,The University of Texas at Arlington,178
A5062951341,Nicolas Heess,64,DeepMind (United Kingdom),176
A5062951341,Nicolas Heess,64,Google (United States),176
A5088276691,Manuela Veloso,66,Carnegie Mellon University,171
A5004923102,Richard S. Sutton,69,Canadian Institute for Advanced Research,160
A5004057129,Derong Liu,100,Hunan Provincial People's Hospital,159
A5091771290,David Silver,86,DeepMind (United Kingdom),151
A5065366930,Satinder Singh,56,Chitkara University,150
A5064553018,Ann Nowé,41,Vrije Universiteit Brussel,148
A5064553018,Ann Nowé,41,Université Libre de Bruxelles,148
A5041323275,Martin Riedmiller,54,Google (United Kingdom),143
A5041323275,Martin Riedmiller,54,DeepMind (United Kingdom),143
A5005997281,Anca D. Dragan,51,"University of California, Berkeley",140
A5011665886,Jonathan P. How,87,Massachusetts Institute of Technology,138
A5068326377,Mykel J. Kochenderfer,53,Stanford University,131
A5013843778,Mohammad Ghavamzadeh,45,Seattle University,131
A5013843778,Mohammad Ghavamzadeh,45,Amazon (United States),131
A5012862284,Leslie Pack Kaelbling,66,Massachusetts Institute of Technology,127
A5020441009,Risto Miikkulainen,55,Cognizant (United States),126
A5020441009,Risto Miikkulainen,55,The University of Texas at Austin,126
A5071172037,Jürgen Schmidhuber,92,Dalle Molle Institute for Artificial Intelligence Research,125
A5110467801,Gerhard Neumann,43,Karlsruhe Institute of Technology,125
A5100624298,Dongbin Zhao,62,Chinese Academy of Sciences,125
A5100624298,Dongbin Zhao,62,Institute of Automation,125
A5068441112,Ufuk Topcu,47,The University of Texas at Austin,119
A5089808068,Andrew G. Barto,76,United States Nuclear Regulatory Commission,117
A5080725225,Dorsa Sadigh,37,Stanford University,115
A5033129735,Christopher Amato,38,Northeastern University,108
A5053112608,Xin Xu,57,National University of Defense Technology,107
A5014791481,Alessandro Lazaric,32,Meta (Israel),105
A5077367921,Gaurav S. Sukhatme,84,Southern California University for Professional Studies,102
A5077367921,Gaurav S. Sukhatme,84,University of Southern California,102
A5001087292,Marc G. Bellemare,38,McGill University,102
A5110797782,Byron Boots,35,University of Washington,100
A5009493909,Frans A. Oliehoek,25,Delft University of Technology,98
A5064077634,Masayoshi Tomizuka,89,Systems Control (United States),93
A5064077634,Masayoshi Tomizuka,89,"University of California, Berkeley",93
A5033135596,Hado van Hasselt,34,Google (United Kingdom),93
A5033135596,Hado van Hasselt,34,DeepMind (United Kingdom),93
A5050342525,Ken Goldberg,54,Berkeley Systems (United States),90
A5009374923,Balaraman Ravindran,40,Indian Institute of Technology Madras,89
A5044505993,Evangelos A. Theodorou,39,Georgia Institute of Technology,87
