ID,paperTitle,year,publisher,citationCount
W4214755140,Point Transformer,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),1423
W3172752666,Sparse R-CNN: End-to-End Object Detection with Learnable Proposals,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),1096
W3214586131,Transformer Tracking,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),998
W3119686997,TrackFormer: Multi-Object Tracking with Transformers,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),699
W3167536469,Transformer Meets Tracker: Exploiting Temporal Context for Robust Visual Tracking,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),666
W4312473433,MOTR: End-to-End Multiple-Object Tracking with Transformer,2022,Lecture notes in computer science,389
W4214624153,An End-to-End Transformer Model for 3D Object Detection,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),359
W3166470370,3D Object Detection with Pointformer,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),357
W3153832461,Action-Conditioned 3D Human Motion Synthesis with Transformer VAE,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),338
W4310078553,PV-RCNN++: Point-Voxel Feature Set Abstraction With Local Vector Representation for 3D Object Detection,2022,International Journal of Computer Vision,313
W4312731878,HiVT: Hierarchical Vector Transformer for Multi-Agent Motion Prediction,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),200
W4386076253,VoxelNeXt: Fully Sparse VoxelNet for 3D Object Detection and Tracking,2023,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),188
W4390872833,PETRv2: A Unified Framework for 3D Perception from Multi-Camera Images,2023,2021 IEEE/CVF International Conference on Computer Vision (ICCV),185
W3149936330,TransMOT: Spatial-Temporal Graph Transformer for Multiple Object Tracking,2023,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),171
W4214516362,Learning to Track with Object Permanence,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),170
W3204439495,Geometry Uncertainty Projection Network for Monocular 3D Object Detection,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),155
W3175233244,MonoRUn: Monocular 3D Object Detection by Reconstruction and Uncertainty Propagation,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),114
W3148242781,Geometry-based Distance Decomposition for Monocular 3D Object Detection,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),112
W3159695738,"M3DETR: Multi-representation, Multi-scale, Mutual-relation 3D Object Detection with Transformers",2022,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),107
W3172261075,Depth-conditioned Dynamic Message Propagation for Monocular 3D Object Detection,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),104
