ID,publisher,publishedCount,avgCitation
S144771191,IEEE Transactions on Intelligent Transportation Systems,3,10.333333333333334
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,3,25.666666666666668
S189694085,IEEE Sensors Journal,1,17.0
S137030581,IEEE Transactions on Multimedia,1,41.0
S414566,Pattern Recognition,1,75.0
S4306499611,5th Annual Conference on Robot Learning,1,10.0
S10892749,IEEE Transactions on Instrumentation and Measurement,1,11.0
S10169007,Knowledge-Based Systems,1,23.0
S101949793,Sensors,1,12.0
S127660348,Journal of Systems Architecture,1,45.0
S25538012,International Journal of Computer Vision,1,313.0
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,1,65.0
S2485537415,IEEE Access,1,11.0
S115173108,IEEE Transactions on Circuits and Systems for Video Technology,1,71.0
S4210169774,IEEE Robotics and Automation Letters,1,55.0
