ID,publisher,hIndex
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,542
S4306417987,Computer Vision and Pattern Recognition,533
S4363607701,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),384
S4210173141,IEEE Transactions on Image Processing,380
S4306419272,International Conference on Computer Vision,371
S185367456,ACM Transactions on Graphics,314
S4306419250,International Conference on Computer Graphics and Interactive Techniques,309
S414566,Pattern Recognition,298
S25538012,International Journal of Computer Vision,285
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,282
S4363607795,2009 IEEE Conference on Computer Vision and Pattern Recognition,279
S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),260
S45693802,Neurocomputing,242
S151820558,Pattern Recognition Letters,216
S115173108,IEEE Transactions on Circuits and Systems for Video Technology,213
S84775595,IEEE Transactions on Visualization and Computer Graphics,199
S137030581,IEEE Transactions on Multimedia,183
S177430994,Image and Vision Computing,179
S185008460,Computer Vision and Image Understanding,176
S133768115,Robotics and Autonomous Systems,172
S4306419637,International Conference on Learning Representations,170
S67831204,Computer Graphics Forum,164
S4306419523,International Conference on Image Processing,160
S4363608614,2011 IEEE/RSJ International Conference on Intelligent Robots and Systems,147
S110206669,Multimedia Tools and Applications,140
S4210169774,IEEE Robotics and Automation Letters,136
S4363607734,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),124
S4363608757,Proceedings of the 30th ACM International Conference on Multimedia,122
S74726891,Applied Intelligence,122
S38090728,Signal Processing Image Communication,115
S4363607748,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),114
S105424869,Journal of Visual Communication and Image Representation,113
S4363607702,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",113
S94821547,Computers & Graphics,110
S72372694,Computational Intelligence and Neuroscience,105
S73060445,The Visual Computer,101
S4363607707,2022 International Joint Conference on Neural Networks (IJCNN),99
S27728525,Machine Vision and Applications,97
S4363607719,2022 IEEE International Conference on Image Processing (ICIP),96
S112262039,Multimedia Systems,89
S4306418296,Eurographics,84
S2764999920,International Journal of Machine Learning and Cybernetics,82
S140962798,Neural Processing Letters,81
S3035462843,Complex & Intelligent Systems,77
S4363607759,2022 International Conference on Robotics and Automation (ICRA),74
S4363607731,2022 26th International Conference on Pattern Recognition (ICPR),74
S83215360,IET Image Processing,73
S4393918233,IEEE Computer Society Conference on Computer Vision and Pattern Recognition workshops,70
S156904493,Signal Image and Video Processing,67
S153767265,EURASIP Journal on Image and Video Processing,66
