ID,name,hIndex,lastInstitution,numberOfWork
A5100362465,Xiangyu Zhang,72,Zero to Three,5
A5100362465,Xiangyu Zhang,72,Wuhan University,5
A5052856441,Jiaya Jia,102,University of Hong Kong,3
A5089561793,Jiajun Deng,21,The University of Adelaide,3
A5052856441,Jiaya Jia,102,Hong Kong University of Science and Technology,3
A5100732450,Hongsheng Li,92,Guangzhou Medical University,3
A5110647238,Tiancai Wang,21,Fujian Agriculture and Forestry University,3
A5064687463,Zheng Fang,20,The Engineering & Technical College of Chengdu University of Technology,2
A5102498323,Xiaojuan Qi,57,Zhejiang Center for Disease Control and Prevention,2
A5064687463,Zheng Fang,20,Chengdu University of Technology,2
A5066263434,Yubo Cui,6,Northeastern University,2
A5100409052,Xiaoming Liu,63,North Minzu University,2
A5102015139,Yuexin Ma,27,ShanghaiTech University,2
A5100748135,Yu Qiao,95,Kyung Hee University,2
A5082181536,Dong Xu,71,Capital Normal University,2
A5090283032,Laura Leal-Taixé,45,Technical University of Munich,2
A5087818121,Wanli Ouyang,93,Shanghai Artificial Intelligence Laboratory,2
A5005226727,Xinge Zhu,27,Huawei Technologies (China),2
A5100444820,Xiaogang Wang,211,Peking University,2
A5100392353,Li Jiang,36,"Chinese University of Hong Kong, Shenzhen",2
A5078141810,Houqiang Li,72,Academy of Medical Sciences,2
A5078141810,Houqiang Li,72,Shandong First Medical University,2
A5100353783,Xin Li,56,North China University of Science and Technology,2
A5087818121,Wanli Ouyang,93,Beijing Academy of Artificial Intelligence,2
A5023184215,Jianbing Shen,63,City University of Macau,2
A5046805800,Wengang Zhou,57,University of Science and Technology of China,2
A5004194238,Dinesh Manocha,90,"University of Maryland, College Park",1
A5027010844,Kailun Yang,33,Hunan University,1
A5100748706,Wankou Yang,32,Southeast University,1
A5091623941,Mathis Petrovich,8,Université Gustave Eiffel,1
A5049300388,Mathieu Salzmann,60,Swiss Data Science Center,1
A5078838951,Dengxin Dai,50,University of Zurich,1
A5100391493,Dong Wang,49,Dalian University of Technology,1
A5049300388,Mathieu Salzmann,60,ETH Zurich,1
A5100610029,Yikang Li,16,Microscale (United States),1
A5014003390,Tianrui Guan,11,"University of Maryland, College Park",1
A5100610029,Yikang Li,16,Hefei National Center for Physical Sciences at Nanoscale,1
A5039092855,Gerhard Rigoll,58,Technical University of Munich,1
A5100610029,Yikang Li,16,University of Science and Technology of China,1
A5065368881,Leonidas Guibas,126,Stanford University,1
A5048742998,Alexander Liniger,23,Bayer (France),1
A5017521271,Kunyu Peng,14,Karlsruhe Institute of Technology,1
A5047386824,Chenglu Wen,33,Xiamen University,1
A5026167547,Zuxuan Wu,40,Fudan University,1
A5100345321,Jing Zhang,56,Gansu Institute of Political Science and Law,1
A5000623592,Ishan Misra,43,Indian Institute of Science Bangalore,1
A5087798118,Xiaoqing Ye,26,Baidu (China),1
A5100345321,Jing Zhang,56,Centro Escolar University,1
A5079975492,Gurkirt Singh,13,ETH Zurich,1
A5101728117,Zicheng Liu,62,Chinese PLA General Hospital,1
