ID,publisher,publishedCount,avgCitation
S2485537415,IEEE Access,3,23.333333333333332
S4210199657,IEEE Transactions on Intelligent Vehicles,3,24.0
S4210169774,IEEE Robotics and Automation Letters,3,22.666666666666668
S144771191,IEEE Transactions on Intelligent Transportation Systems,3,25.333333333333336
S25538012,International Journal of Computer Vision,2,242.0
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,2,14.5
S7560371,Information Fusion,1,260.0
S161080992,IEEE Aerospace and Electronic Systems Magazine,1,145.0
S10936095,IEEE Transactions on Vehicular Technology,1,10.0
S4306499611,5th Annual Conference on Robot Learning,1,10.0
S2737955091,Journal Of Big Data,1,5617.0
S10169007,Knowledge-Based Systems,1,95.0
S72372694,Computational Intelligence and Neuroscience,1,190.0
S101949793,Sensors,1,141.0
S122814990,Artificial Intelligence Review,1,638.0
S4387283309,Frontiers in Computing and Intelligent Systems,1,1.0
S4210191041,IEEE Transactions on Cybernetics,1,92.0
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,1,85.0
S120348307,Procedia Computer Science,1,117.0
S62148650,Machine Learning,1,1231.0
