ID,name,hIndex,lastInstitution,numberOfWorkInTopic
A5080823547,Mubarak Shah,113,University of Central Florida,153
A5100355692,Yang Liu,102,Harbin Institute of Technology,135
A5072913672,Yuval Elovici,66,Ben-Gurion University of the Negev,109
A5036357902,Philip S. Yu,164,University of Illinois Chicago,109
A5072744508,Masashi Sugiyama,71,The University of Tokyo,108
A5072744508,Masashi Sugiyama,71,RIKEN Center for Advanced Intelligence Project,108
A5001254143,Luc Van Gool,172,ETH Zurich,104
A5100381753,Shuicheng Yan,175,Ningbo University of Technology,100
A5055128383,Sridha Sridharan,61,SASTRA University,100
A5034095159,Clinton Fookes,53,Queensland University of Technology,93
A5102762707,Rama Chellappa,120,Johns Hopkins University,91
A5012240246,Jüergen Gall,63,University of Bonn,91
A5051534545,Bernt Schiele,131,Max Planck Institute for Informatics,91
A5074103823,Dacheng Tao,146,Nanyang Technological University,91
A5003799782,Witold Pedrycz,129,University of Alberta,90
A5027171279,Nicu Sebe,97,University of Trento,89
A5004194238,Dinesh Manocha,90,"University of Maryland, College Park",87
A5083626840,Simon Denman,43,Queensland University of Technology,85
A5024763828,Bernard Ghanem,62,King Abdullah University of Science and Technology,83
A5108050904,Wei‐Shi Zheng,70,Second Affiliated Hospital of Zhejiang University,82
A5108050904,Wei‐Shi Zheng,70,Zhejiang University,82
A5022176859,Thomas B. Moeslund,51,Aalborg University,77
A5100361857,Jun Liu,51,Changzhou University,76
A5028597017,Qingming Huang,78,Xiamen University,76
A5004716468,Vishal M. Patel,78,Johns Hopkins University,76
A5113777904,R. Venkatesh Babu,49,Dr. Hari Singh Gour University,75
A5109890544,Cordelia Schmid,118,Université Paris Sciences et Lettres,75
A5047405956,Nanning Zheng,74,Xi'an Jiaotong University,73
A5089170562,Taghi M. Khoshgoftaar,79,Florida Atlantic University,72
A5050630882,Licheng Jiao,95,Xidian University,71
A5006294869,Chunhua Shen,119,Zhejiang Lab,70
A5006294869,Chunhua Shen,119,Zhejiang University of Technology,70
A5084829008,Michael S. Ryoo,42,Stony Brook University,70
A5111454036,Larry S. Davis,97,"University of Maryland, College Park",68
A5100341321,Qi Wang,62,Northwestern Polytechnical University,68
A5100436505,Limin Wang,61,Nanjing University,67
A5028209738,Josef Kittler,90,University of Surrey,67
A5030948871,Rita Cucchiara,59,University of Modena and Reggio Emilia,67
A5065340030,Bernhard Sick,31,University of Kassel,67
A5106943753,Xuelong Li,69,Minzu University of China,66
A5068504559,Alexandre Alahi,44,École Polytechnique Fédérale de Lausanne,66
A5115602506,Liang Wang,96,Beijing Shijitan Hospital,66
A5115602506,Liang Wang,96,Capital Medical University,66
A5100606995,Jun Zhu,67,Chinese University of Hong Kong,66
A5100444820,Xiaogang Wang,211,Peking University,65
A5082634513,Ling Shao,120,University of Chinese Academy of Sciences,65
A5045016749,Francisco Herrera,168,Instituto Andaluz de Ciencias de la Tierra,65
A5045016749,Francisco Herrera,168,Universidad de Granada,65
A5000798681,Longbing Cao,58,Macquarie University,64
A5085245110,Junsong Yuan,76,"University at Buffalo, State University of New York",64
