ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,11
F4320335777,National Key Research and Development Program of China,503,3
F4320334627,Engineering and Physical Sciences Research Council,461,2
F4320332999,Horizon 2020 Framework Programme,304,2
F4320321681,"Ministry of Trade, Industry and Energy",192,1
F4320322769,Natural Science Foundation of Jiangsu Province,328,1
F4320335787,Fundamental Research Funds for the Central Universities,428,1
F4320322919,Natural Science Foundation of Beijing Municipality,296,1
F4320334704,Australian Research Council,494,1
F4320338468,Basic Public Welfare Research Program of Zhejiang Province,44,1
F4320326705,"Science, Technology and Innovation Commission of Shenzhen Municipality",172,1
F4320322120,National Research Foundation of Korea,445,1
F4320320279,University of Warwick,85,1
F4320326182,Six Talent Peaks Project in Jiangsu Province,145,1
F4320327777,Jiangsu Provincial Key Research and Development Program,100,1
F4320315072,Mitsubishi Electric Research Laboratories,20,1
F4320329791,Shenzhen Fundamental Research Program,95,1
F4320322163,Natural Science Foundation of Hebei Province,166,1
F4320326444,Nova,32,1
F4320321133,Chinese Academy of Sciences,439,1
