ID,name,country,hIndex,workCountInTopic
I140172145,University of Connecticut,US,551,793
I70983195,Syracuse University,US,464,411
I125839683,Beijing Institute of Technology,CN,386,1361
I82880672,Beihang University,CN,374,1730
I17145004,Northwestern Polytechnical University,CN,324,2071
I192396691,University of New Orleans,US,285,368
I1280414376,United States Air Force Research Laboratory,US,268,653
I170215575,National University of Defense Technology,CN,234,1597
I1287521167,Lockheed Martin (United States),US,216,287
I151727225,Harbin Engineering University,CN,215,1366
I50760025,Hangzhou Dianzi University,CN,183,456
I55022517,Heilongjiang University,CN,172,671
I44896327,Mitre (United States),US,164,168
I4210143601,Decision Systems (United States),US,163,97
I51768193,Royal Military College of Canada,CA,156,172
I55061410,U.S. Air Force Institute of Technology,US,148,225
I1291458624,Swedish Defence Research Agency,SE,146,102
I1343143571,Draper Laboratory,US,144,135
I4210097418,Laboratoire des signaux et systèmes,FR,137,164
I4210127558,Australian Centre for Robotic Vision,AU,127,107
I28490864,DSO National Laboratories,SG,124,73
I163244428,Norwegian Defence Research Establishment,NO,121,58
I4210104252,Air Force Engineering University,CN,120,803
I1297460800,Defence Research and Development Canada,CA,119,216
I4391767838,State Key Laboratory of Industrial Control Technology,,116,78
I4210121626,Signal Processing (United States),US,115,101
I4210090800,Sensors (United States),US,114,92
I4210099069,Institute of Acoustics,CN,109,197
I4210110458,Institute of Electronics,CN,108,316
I4210119419,"Czech Academy of Sciences, Institute of Information Theory and Automation",CZ,107,87
I16362100,Rafael Advanced Defense Systems (Israel),IL,107,88
I28813325,Civil Aviation University of China,CN,105,169
I2801036362,Agency for Defense Development,KR,103,198
I4210145102,Institut Polytechnique de Paris,FR,98,97
I4210088387,Heuristics and Diagnostics for Complex Systems,FR,95,77
I2799471739,Naval Undersea Warfare Center,US,93,230
I4210145244,Radar (United States),US,89,68
I4387153010,Telecom SudParis,,89,98
I2800710378,Naval University of Engineering,CN,87,616
I4210130660,Xi'an High Tech University,CN,86,115
I4210099960,Systems Control (United States),US,86,87
I1342391420,NATO Centre for Maritime Research and Experimentation,IT,86,142
I4210143894,"Laboratoire d'Automatique, Génie Informatique et Signal",FR,84,69
I183804699,Lockheed Martin (Canada),CA,82,55
I4388482740,Georgia Tech Research Institute,,81,99
I193033237,Institut Superieur de l'Aeronautique et de l'Espace (ISAE-SUPAERO),FR,80,101
I2801461044,Eglin Air Force Base,US,79,68
I2800372957,China Electronics Technology Group Corporation,CN,76,184
I4210100308,Military Technical College,EG,73,75
I4210099573,United States Air Force Office of Scientific Research,US,72,32
