ID,name,hIndex,lastInstitution,numberOfWork
A5086877328,Aris S. Lalos,20,Industrial Systems Institute,2
A5087141784,Long Cheng,24,Wuhan Donghu University,1
A5100383518,Pu Wang,40,Northeast Forestry University,1
A5068433165,Joelle Al Hage,7,Centre National de la Recherche Scientifique,1
A5068433165,Joelle Al Hage,7,Université de Technologie de Compiègne,1
A5040568223,Bing Wang,20,Shandong University,1
A5025858225,Yuxuan Xia,17,Shanghai Jiao Tong University,1
A5067249512,Alireza Bab‐Hadiashar,36,MIT University,1
A5067249512,Alireza Bab‐Hadiashar,36,RMIT University,1
A5100365448,Lihua Xie,111,China Tobacco,1
A5064997605,Amirali Khodadadian Gostar,19,RMIT University,1
A5027594680,Karl Granström,35,San Francisco Zoo,1
A5101569349,Jiang Liu,12,China-Japan Friendship Hospital,1
A5029413988,Lennart Svensson,44,Göteborgs Stads,1
A5029413988,Lennart Svensson,44,University of Gothenburg,1
A5050418541,Philippe Bonnifait,28,Centre National de la Recherche Scientifique,1
A5050418541,Philippe Bonnifait,28,Université de Technologie de Compiègne,1
A5110293164,John J. Leonard,77,Massachusetts Institute of Technology,1
A5010637110,Niki Trigoni,57,University of Oxford,1
A5050176259,Reza Hoseinnezhad,36,RMIT University,1
A5090118616,Karl Berntorp,23,Mitsubishi Electric (United States),1
A5060183988,Andrew Markham,53,University of Oxford,1
