ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,160
F4320335777,National Key Research and Development Program of China,503,45
F4320321543,China Postdoctoral Science Foundation,421,17
F4320335787,Fundamental Research Funds for the Central Universities,428,16
F4320334704,Australian Research Council,494,12
F4320306076,National Science Foundation,783,11
F4320321885,Science and Technology Commission of Shanghai Municipality,294,10
F4320322120,National Research Foundation of Korea,445,9
F4320337504,Research and Development,139,8
F4320322769,Natural Science Foundation of Jiangsu Province,328,6
F4320327777,Jiangsu Provincial Key Research and Development Program,100,6
F4320334627,Engineering and Physical Sciences Research Council,461,5
F4320322795,"Ministry of Science and Technology, Taiwan",285,5
F4320323172,Natural Science Foundation of Chongqing,153,4
F4320313620,Hubei Provincial Department of Education,95,4
F4320321408,Ministry of Education,241,4
F4320324174,Natural Science Foundation of Shandong Province,251,3
F4320329553,Bundesministerium für Arbeit und Soziales,19,3
F4320337111,Basic and Applied Basic Research Foundation of Guangdong Province,121,3
F4320322919,Natural Science Foundation of Beijing Municipality,296,3
F4320332999,Horizon 2020 Framework Programme,304,3
F4320321309,University of Ulsan,50,3
F4320326182,Six Talent Peaks Project in Jiangsu Province,145,3
F4320309618,Ministry of Science and Technology,165,3
F4320334593,Natural Sciences and Engineering Research Council of Canada,478,3
F4320335353,National Science Foundation of Sri Lanka,213,3
F4320321133,Chinese Academy of Sciences,439,3
F4320332180,Defense Advanced Research Projects Agency,327,3
F4320334977,Beijing Municipal Natural Science Foundation,135,3
F4320309612,Natural Science Foundation of Shanghai,221,3
F4320321920,Innovation and Technology Commission,159,3
F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,279,2
F4320322163,Natural Science Foundation of Hebei Province,166,2
F4320338464,Natural Science Foundation of Zhejiang Province,269,2
F4320320698,National University of Singapore,234,2
F4320321921,Natural Science Foundation of Guangdong Province,300,2
F4320338335,H2020 European Research Council,391,2
F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,336,2
F4320332299,National Institute of Food and Agriculture,240,2
F4320323893,Fundo para o Desenvolvimento das Ciências e da Tecnologia,124,2
F4320333596,Key Technology Research and Development Program of Shandong,133,2
F4320306087,Semiconductor Research Corporation,137,2
F4320320879,Deutsche Forschungsgemeinschaft,566,2
F4320335507,Toyota Motor Europe,28,2
F4320328119,National University's Basic Research Foundation of China,146,2
F4320320847,Science Foundation Ireland,252,2
F4320316529,Jaguar Land Rover,31,2
F4320322392,Tsinghua University,164,2
F4320335773,National High-tech Research and Development Program,133,2
F4320323993,Natural Science Foundation of Tianjin City,223,2
