ID,paperTitle,year,publisher,citationCount
W4402754006,DETRs Beat YOLOs on Real-time Object Detection,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),1208
W4398810114,YOLOv10: Real-Time End-to-End Object Detection,2024,arXiv (Cornell University),810
W4401634204,Robustness-Aware 3D Object Detection in Autonomous Driving: A Review and Outlook,2024,IEEE Transactions on Intelligent Transportation Systems,52
W4392169182,Object Detection in Autonomous Vehicles under Adverse Weather: A Review of Traditional and Deep Learning Approaches,2024,Algorithms,46
W4402703030,IS-Fusion: Instance-Scene Collaborative Fusion for Multimodal 3D Object Detection,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),27
W4390663385,Emerging Trends in Autonomous Vehicle Perception: Multimodal Fusion for 3D Object Detection,2024,World Electric Vehicle Journal,25
W4396855832,Vehicle Detection Algorithms for Autonomous Driving: A Review,2024,Sensors,22
W4402754159,RCBEVDet: Radar-Camera Fusion in Bird's Eye View for 3D Object Detection,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),22
W4403750847,TSD-DETR: A lightweight real-time detection transformer of traffic sign detection for long-range perception of autonomous driving,2024,Engineering Applications of Artificial Intelligence,21
W4402704555,MonoCD: Monocular 3D Object Detection with Complementary Depths,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),21
W4399881121,MonoGAE: Roadside Monocular 3D Object Detection With Ground-Aware Embeddings,2024,IEEE Transactions on Intelligent Transportation Systems,18
W4390748068,Deep learning-based fusion networks with high-order attention mechanism for 3D object detection in autonomous driving scenarios,2024,Applied Soft Computing,17
W4396680601,VoPiFNet: Voxel-Pixel Fusion Network for Multi-Class 3D Object Detection,2024,IEEE Transactions on Intelligent Transportation Systems,16
W4401839711,BEV perception for autonomous driving: State of the art and future perspectives,2024,Expert Systems with Applications,15
W4402727763,BEVNeXt: Reviving Dense BEV Frameworks for 3D Object Detection,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),14
W4390905122,PPF-Det: Point-Pixel Fusion for Multi-Modal 3D Object Detection,2024,IEEE Transactions on Intelligent Transportation Systems,13
W4394994942,Fully Sparse Fusion for 3D Object Detection,2024,IEEE Transactions on Pattern Analysis and Machine Intelligence,13
W4391313182,Deep learning based computer vision under the prism of 3D point clouds: a systematic review,2024,The Visual Computer,13
W4405994039,A Review of Environmental Perception Technology Based on Multi-Sensor Information Fusion in Autonomous Driving,2025,World Electric Vehicle Journal,12
W4394711494,Multi-Sem Fusion: Multimodal Semantic Fusion for 3-D Object Detection,2024,IEEE Transactions on Geoscience and Remote Sensing,12
