ID,publisher,publishedCount,avgCitation
S4363607701,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),117,229.76923076923066
S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),64,489.73437500000006
S4363607748,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),12,32.25
S4363607979,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),11,36.090909090909086
S4363607734,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),11,16.90909090909091
S4363607759,2022 International Conference on Robotics and Automation (ICRA),8,62.75
S4363607737,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),7,21.0
S4363608757,Proceedings of the 30th ACM International Conference on Multimedia,5,24.4
S4363608458,2021 International Conference on 3D Vision (3DV),4,16.5
S4363607846,2021 IEEE International Conference on Robotics and Biomimetics (ROBIO),2,0.0
S4363605370,2022 IEEE Intelligent Vehicles Symposium (IV),2,9.5
S4363607702,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",1,1.0
S4363608816,Proceedings of the 59th ACM/IEEE Design Automation Conference,1,18.0
S4363609010,Proceedings of the 7th International Conference on Vehicle Technology and Intelligent Transport Systems,1,2.0
S4363608321,2021 IEEE 24th International Conference on Information Fusion (FUSION),1,100.0
S4363604230,2021 China Automation Congress (CAC),1,1.0
S4306498795,"2021 Fourth International Conference on Electrical, Computer and Communication Technologies (ICECCT)",1,10.0
S4363607707,2022 International Joint Conference on Neural Networks (IJCNN),1,21.0
S4363608305,Fourteenth International Conference on Digital Image Processing (ICDIP 2022),1,5.0
S4363608755,Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence,1,93.0
