ID,publisher,publishedCount,avgCitation
S144771191,IEEE Transactions on Intelligent Transportation Systems,45,59.82222222222224
S101949793,Sensors,27,47.92592592592592
S4210199657,IEEE Transactions on Intelligent Vehicles,25,47.19999999999999
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,24,320.6666666666667
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,22,93.09090909090907
S2485537415,IEEE Access,18,34.27777777777778
S4210169774,IEEE Robotics and Automation Letters,18,55.94444444444445
S45693802,Neurocomputing,14,64.42857142857142
S13144211,Expert Systems with Applications,13,34.61538461538461
S189694085,IEEE Sensors Journal,12,22.25
S25538012,International Journal of Computer Vision,10,288.2
S10892749,IEEE Transactions on Instrumentation and Measurement,8,53.12500000000001
S43295729,Remote Sensing,8,30.625
S115173108,IEEE Transactions on Circuits and Systems for Video Technology,7,43.285714285714285
S2913398011,World Electric Vehicle Journal,6,11.833333333333332
S111326731,IEEE Transactions on Geoscience and Remote Sensing,6,29.833333333333332
S4210175523,IEEE Transactions on Neural Networks and Learning Systems,6,36.0
S900972176,Engineering Applications of Artificial Intelligence,5,16.4
S10936095,IEEE Transactions on Vehicular Technology,5,20.0
S4210202905,Electronics,5,140.6
