ID,publisher,hIndex
S4306400194,arXiv (Cornell University),801
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,542
S4306417987,Computer Vision and Pattern Recognition,533
S4363607701,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),384
S4210173141,IEEE Transactions on Image Processing,380
S4306419272,International Conference on Computer Vision,371
S4306420609,Neural Information Processing Systems,361
S2485537415,IEEE Access,326
S4306419644,International Conference on Machine Learning,325
S58069681,IEEE Transactions on Medical Imaging,317
S101949793,Sensors,306
S414566,Pattern Recognition,298
S25538012,International Journal of Computer Vision,285
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,282
S4363607795,2009 IEEE Conference on Computer Vision and Pattern Recognition,279
S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),260
S144771191,IEEE Transactions on Intelligent Transportation Systems,245
S123019304,Neural Networks,244
S45693802,Neurocomputing,242
S4210175523,IEEE Transactions on Neural Networks and Learning Systems,226
S173339282,ISPRS Journal of Photogrammetry and Remote Sensing,221
S151820558,Pattern Recognition Letters,216
S115173108,IEEE Transactions on Circuits and Systems for Video Technology,213
S116571295,Medical Image Analysis,211
S10169007,Knowledge-Based Systems,209
S97130795,IEEE Transactions on Parallel and Distributed Systems,197
S4210205812,Applied Sciences,196
S7560371,Information Fusion,195
S137030581,IEEE Transactions on Multimedia,183
S177430994,Image and Vision Computing,179
S185008460,Computer Vision and Image Understanding,176
S147897268,Neural Computing and Applications,173
S122814990,Artificial Intelligence Review,170
S4306419637,International Conference on Learning Representations,170
S900972176,Engineering Applications of Artificial Intelligence,168
S126920919,IEEE Geoscience and Remote Sensing Letters,166
S117727964,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,146
S110206669,Multimedia Tools and Applications,140
S4210169774,IEEE Robotics and Automation Letters,136
S4210202905,Electronics,129
S4363607734,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),124
S4363608757,Proceedings of the 30th ACM International Conference on Multimedia,122
S74726891,Applied Intelligence,122
S121340289,Computers & Electrical Engineering,119
S38090728,Signal Processing Image Communication,115
S142627899,ACM Transactions on Software Engineering and Methodology,115
S4363607748,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),114
S198823948,Computerized Medical Imaging and Graphics,113
S105424869,Journal of Visual Communication and Image Representation,113
S4363607702,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",113
