ID,name,country,hIndex,workCountInTopic
I118136607,General Motors (United States),US,281,321
I1292974536,Ford Motor Company (United States),US,255,433
I39470171,Ontario Tech University,CA,206,235
I889804353,Robert Bosch (Germany),DE,186,147
I891521709,Daimler (Germany),DE,175,287
I88467170,Université d'Évry Val-d'Essonne,FR,171,91
I4210130704,University of Michigan–Dearborn,US,157,93
I4210136497,Jilin Medical University,CN,152,339
I4210124956,GIPSA-Lab,FR,144,271
I4210127762,Coventry (United Kingdom),GB,143,52
I1293612202,Toyota Motor Corporation (Switzerland),CH,143,143
I2898894,Liaoning University of Technology,CN,139,114
I1283473643,Honda (Japan),JP,122,149
I32589535,Technical University of Malaysia Malacca,MY,115,160
I4210117195,Institute for Computer Science and Control,HU,109,285
I4210137853,Toyota Motor Corporation (Japan),JP,109,129
I1340210623,Volvo (Sweden),SE,104,258
I1283382300,BMW (Germany),DE,104,179
I4210143979,Systems Technology (United States),US,103,120
I4210110524,Nissan (Japan),JP,102,72
I4392738231,State Key Laboratory of Automotive Simulation and Control,,102,558
I4210089617,"Laboratoire d'Automatique, de Mécanique et d'Informatique Industrielles et Humaines",FR,98,161
I4210135317,General Motors (Poland),PL,98,148
I1301102746,Renault (France),FR,97,177
I126452172,Aptiv (United States),US,96,68
I4210156768,BMW Group (Germany),DE,96,162
I4210088387,Heuristics and Diagnostics for Complex Systems,FR,95,112
I1294350288,Scania (Sweden),SE,94,63
I268709337,PSA Peugeot Citroën (France),FR,87,105
I4210126203,Hubei University of Automotive Technology,CN,87,86
I4210145184,Honda (United States),US,85,44
I4210090962,Centro Ricerche FIAT,IT,83,49
I1311636904,Michigan Department of Transportation,US,83,46
I52706244,College of Industrial Technology,JP,83,81
I185088104,Tokyo City University,JP,81,73
I4210099312,Shandong Jiaotong University,CN,81,98
I49946491,Hyundai Motors (South Korea),KR,81,262
I4210115718,Thai Nguyen University,VN,80,54
I4210094894,China Automotive Technology and Research Center,CN,74,161
I1334704838,Transport Canada,CA,74,27
I83579964,Széchenyi István University,HU,74,51
I4210161667,Continental (United States),US,74,23
I1319473763,Volkswagen Group (Germany),DE,73,101
I130198913,Jaguar Land Rover (United Kingdom),GB,71,105
I4387153628,Volvo Cars (Sweden),,71,110
I2276074,Lawrence Technological University,US,69,29
I4210145005,State Key Laboratory of Vehicle NVH and Safety Technology,CN,67,117
I8659980,Volkswagen Group (United States),US,66,65
I865166595,George Washington University Virginia Campus,US,66,15
I4210107733,"Informatique, BioInformatique, Systèmes Complexes",FR,63,156
