ID,paperTitle,year,publisher,citationCount
W4285228542,Autonomous Vehicles on the Edge: A Survey on Autonomous Vehicle Racing,2022,IEEE Open Journal of Intelligent Transportation Systems,190
W4285179475,Autonomous Vehicle Kinematics and Dynamics Synthesis for Sideslip Angle Estimation Based on Consensus Kalman Filter,2022,IEEE Transactions on Control Systems Technology,159
W3202375294,Automated Vehicle Sideslip Angle Estimation Considering Signal Measurement Characteristic,2021,IEEE Sensors Journal,144
W4285272860,Prediction-Uncertainty-Aware Decision-Making for Autonomous Vehicles,2022,IEEE Transactions on Intelligent Vehicles,124
W3136119534,An Intelligent Lane-Changing Behavior Prediction and Decision-Making Strategy for an Autonomous Vehicle,2021,IEEE Transactions on Industrial Electronics,107
W3124225140,Harmonious Lane Changing via Deep Reinforcement Learning,2021,IEEE Transactions on Intelligent Transportation Systems,89
W3209459638,An Optimization-Based Path Planning Approach for Autonomous Vehicles Using the DynEFWA-Artificial Potential Field,2021,IEEE Transactions on Intelligent Vehicles,88
W3131567678,Robust Optimal Control for the Vehicle Suspension System With Uncertainties,2021,IEEE Transactions on Cybernetics,72
W3176167688,Cooperative Driving of Automated Vehicles Using B-Splines for Trajectory Planning,2021,IEEE Transactions on Intelligent Vehicles,66
W3165367960,Trajectory Planning for Autonomous Mining Trucks Considering Terrain Constraints,2021,IEEE Transactions on Intelligent Vehicles,56
W4389473995,A Polytopic Model-Based Robust Predictive Control Scheme for Path Tracking of Autonomous Vehicles,2023,IEEE Transactions on Intelligent Vehicles,53
W4313039234,Mixed-Integer and Conditional Trajectory Planning for an Autonomous Mining Truck in Loading/Dumping Scenarios: A Global Optimization Approach,2022,IEEE Transactions on Intelligent Vehicles,49
W3130234876,Integrated Crash Avoidance and Mitigation Algorithm for Autonomous Vehicles,2021,IEEE Transactions on Industrial Informatics,48
W4285241557,Parallel Learning-Based Steering Control for Autonomous Driving,2022,IEEE Transactions on Intelligent Vehicles,47
W3127566536,Optimal Cooperative Maneuver Planning for Multiple Nonholonomic Robots in a Tiny Environment via Adaptive-Scaling Constrained Optimization,2021,IEEE Robotics and Automation Letters,47
W4401112666,Adaptive disturbance observer-based fixed time nonsingular terminal sliding mode control for path-tracking of unmanned agricultural tractors,2024,Biosystems Engineering,45
W4379930243,A Survey of Lateral Stability Criterion and Control Application for Autonomous Vehicles,2023,IEEE Transactions on Intelligent Transportation Systems,45
W4213175439,Sine Resistance Network-Based Motion Planning Approach for Autonomous Electric Vehicles in Dynamic Environments,2022,IEEE Transactions on Transportation Electrification,43
W4287617987,Alternating Direction Method of Multipliers for Constrained Iterative LQR in Autonomous Driving,2022,IEEE Transactions on Intelligent Transportation Systems,42
W4226428973,Sequential Convex Programming Methods for Real-Time Optimal Trajectory Planning in Autonomous Vehicle Racing,2022,IEEE Transactions on Intelligent Vehicles,41
