ID,name,hIndex,lastInstitution,numberOfWork
A5020470831,Amir Khajepour,65,University of Waterloo,5
A5114911316,Li Li,56,Beihang University,5
A5045565571,Yechen Qin,36,Beijing Institute of Technology,5
A5023201930,Ehsan Hashemi,30,University of Alberta,4
A5077232157,Xiaolin Tang,45,Chongqing University,3
A5100379486,Lu Xiong,30,Tongji University,3
A5100765837,Zhiheng Li,34,China Coal Technology and Engineering Group Corp (China),3
A5100608938,Bai Li,48,Chongqing University,3
A5031991761,Dongpu Cao,48,Tsinghua University,3
A5079684072,Hong Wang,27,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",2
A5052233170,Zhenpo Wang,66,Beijing Institute of Technology,2
A5023862346,Ling Zheng,34,State Key Laboratory of Mechanical Transmission,2
A5012659616,Lei Zhang,50,Hankyong National University,2
A5079684072,Hong Wang,27,Research Institute of Highway,2
A5058738211,Weida Wang,30,Beijing Institute of Technology,2
A5100416422,Youmin Zhang,83,Hodges University,2
A5026976275,Chao Yang,27,Beibu Gulf University,2
A5046922272,Yinong Li,28,University of Hong Kong,2
A5100726954,Weichao Sun,41,Southwest Jiaotong University,2
A5017209009,Yixiao Liang,11,Huawei Technologies (China),2
A5100299426,Changle Xiang,37,Beijing Institute of Technology,2
A5023862346,Ling Zheng,34,Chongqing University,2
A5053317950,Huihui Pan,24,Harbin Institute of Technology,2
A5101873167,Xin Xia,23,"University of California, Los Angeles",2
A5060085296,Zhenfu Chen,12,University of South China,1
A5042055184,Ningyuan Guo,21,University of South China,1
A5022300438,Henk Nijmeijer,81,Eindhoven University of Technology,1
A5064212745,Bingzhao Gao,33,Tongji University,1
A5057276700,Yingfeng Cai,44,Jiangsu University,1
A5056557062,Dawei Pi,17,Nanjing University of Science and Technology,1
A5037329522,Jeroen Ploeg,35,Siemens (Netherlands),1
A5103159071,Letian Gao,13,Tongji University,1
A5036282981,Sifa Zheng,12,Tsinghua University,1
A5063700251,Xing Yang,12,Huazhong University of Science and Technology,1
A5003126186,Yanjun Huang,46,Capital University,1
A5100347831,Ming Liu,4,Tongji University,1
A5083973713,Alexander Katriniok,9,Eindhoven University of Technology,1
A5100679851,Chao Wei,19,Beijing Institute of Technology,1
A5100399367,Han Zhang,12,Nanjing University,1
A5100399367,Han Zhang,12,State Key Laboratory of Pollution Control and Resource Reuse,1
A5017564676,Haobin Jiang,31,Jiangsu University,1
A5082936279,Zhuoping Yu,26,Tongji University,1
A5078959583,Fen Lin,21,Ocean University of China,1
A5045018563,Xiaofei Pei,19,Suizhou Central Hospital,1
A5029334337,Levent Güvenç,32,The Ohio State University,1
A5064394634,Guodong Yin,40,Southeast University,1
A5100679851,Chao Wei,19,Inner Mongolia Electric Power (China),1
A5016228941,Hongyan Guo,29,Nanning Normal University,1
A5101856615,Wei Liu,19,Tongji University,1
A5019817936,Bilin Aksun‐Güvenç,15,The Ohio State University,1
