ID,name,hIndex,workCountInTopic
F4320334704,Australian Research Council,494,3
F4320320879,Deutsche Forschungsgemeinschaft,566,2
F4320321001,National Natural Science Foundation of China,728,2
F4320335353,National Science Foundation of Sri Lanka,213,2
F4320306555,Wisconsin Alumni Research Foundation,100,1
F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,279,1
F4320323383,Technische Universität München,91,1
F4320332180,Defense Advanced Research Projects Agency,327,1
F4320323803,Bundesministerium für Wirtschaft und Energie,135,1
F4320335322,European Regional Development Fund,327,1
F4320320983,Queensland University of Technology,107,1
F4320335507,Toyota Motor Europe,28,1
F4320321114,Bundesministerium für Bildung und Forschung,381,1
F4320333480,"Kellogg Institute for International Studies, University of Notre Dame",7,1
F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,446,1
F4320338335,H2020 European Research Council,391,1
F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,336,1
F4320334593,Natural Sciences and Engineering Research Council of Canada,478,1
F4320321885,Science and Technology Commission of Shanghai Municipality,294,1
F4320306076,National Science Foundation,783,1
F4320332299,National Institute of Food and Agriculture,240,1
F4320321019,University Grants Committee,130,1
F4320335777,National Key Research and Development Program of China,503,1
