ID,publisher,publishedCount,avgCitation
S25538012,International Journal of Computer Vision,3,167.33333333333331
S4210169774,IEEE Robotics and Automation Letters,3,25.0
S144771191,IEEE Transactions on Intelligent Transportation Systems,2,156.5
S157921468,ACM Computing Surveys,2,43.0
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,2,14.5
S2485537415,IEEE Access,2,52.0
S4210173141,IEEE Transactions on Image Processing,1,120.0
S13144211,Expert Systems with Applications,1,60.0
S7560371,Information Fusion,1,260.0
S137030581,IEEE Transactions on Multimedia,1,14.0
S62148650,Machine Learning,1,1231.0
S122814990,Artificial Intelligence Review,1,638.0
S2483040032,IEEE Consumer Electronics Magazine,1,51.0
S2912241403,Nature Machine Intelligence,1,108.0
S101949793,Sensors,1,48.0
S114241109,IEEE Intelligent Systems,1,130.0
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,1,59.0
S4210183804,Automotive Innovation,1,11.0
S4210199657,IEEE Transactions on Intelligent Vehicles,1,12.0
S173527311,IEEE Transactions on Network and Service Management,1,142.0
