ID,name,country,hIndex,workCountInTopic
I25355098,Chang'an University,CN,186,32
I160993911,Queensland University of Technology,AU,446,16
I4210123843,Advanced Technologies Group (United States),US,73,14
I1332474105,Mercedes-Benz (Germany),DE,57,13
I4391768151,Toyota Research Institute,,110,12
I106165777,University of Central Florida,US,426,12
I4210145184,Honda (United States),US,85,10
I4210093659,University of Transport and Communications,VN,56,10
I1283382300,BMW (Germany),DE,104,9
I530967,Toronto Metropolitan University,CA,256,9
I4210093665,Toyota Motor North America (United States),US,62,6
I4210145005,State Key Laboratory of Vehicle NVH and Safety Technology,CN,67,5
I56590836,Monash University,AU,717,5
I4210156768,BMW Group (Germany),DE,96,5
I4210148944,Dà-Jiāng Innovations Science and Technology (China),CN,34,5
I4210094894,China Automotive Technology and Research Center,CN,74,5
I4210127216,Ministry of Transport,CN,93,5
I4210135257,Volvo (United States),US,34,5
I4210131649,China Automotive Engineering Research Institute,CN,51,4
I4401726870,Didi Chuxing (China),,56,4
I4210130704,University of Michigan–Dearborn,US,157,4
I1319473763,Volkswagen Group (Germany),DE,73,3
I917207718,Toyota Industries (United States),US,42,3
I4210120547,Toyota Motor Corporation (Belgium),BE,59,3
I1322300227,Audi (Germany),DE,53,3
I1311636904,Michigan Department of Transportation,US,83,3
I72541430,Lakehead University,CA,223,2
I1302611135,Ministry of Public Security of the People's Republic of China,CN,74,2
I4210163147,Traffic Management Research Institute,CN,24,2
I246010334,Università degli Studi di Enna Kore,IT,100,2
I130198913,Jaguar Land Rover (United Kingdom),GB,71,1
I4210122994,Akka Technologies (France),FR,19,1
I878454856,Hasselt University,BE,245,1
I4210107946,Forschungsgesellschaft Kraftfahrwesen Aachen (Germany),DE,22,1
