ID,paperTitle,year,publisher,citationCount
W3156216502,Large Scale Interactive Motion Forecasting for Autonomous Driving : The Waymo Open Motion Dataset,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),318
W3204875639,DenseTNT: End-to-end Trajectory Prediction from Dense Goal Sets,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),315
W4353056919,Dense reinforcement learning for safety validation of autonomous vehicles,2023,Nature,279
W3214950490,MultiPath++: Efficient Information Fusion and Trajectory Aggregation for Behavior Prediction,2022,2022 International Conference on Robotics and Automation (ICRA),183
W3171419621,Risk Assessment and Mitigation in Local Path Planning for Autonomous Vehicles With LSTM Based Predictive Model,2021,IEEE Transactions on Automation Science and Engineering,101
W4308044468,Social Interactions for Autonomous Driving: A Review and Perspectives,2022,Foundations and Trends in Robotics,95
W3172086939,"A Survey of Driving Safety With Sensing, Vehicular Communications, and Artificial Intelligence-Based Collision Avoidance",2021,IEEE Transactions on Intelligent Transportation Systems,94
W3208246861,Trajectory Prediction for Autonomous Driving based on Multi-Head Attention with Joint Agent-Map Representation,2021,2022 IEEE Intelligent Vehicles Symposium (IV),88
W4214895168,AI-TP: Attention-Based Interaction-Aware Trajectory Prediction for Autonomous Driving,2022,IEEE Transactions on Intelligent Vehicles,85
W3138446376,Driving style recognition and comparisons among driving tasks based on driver behavior in the online car-hailing industry,2021,Accident Analysis & Prevention,83
W3199048838,Multi-modal Motion Prediction with Transformer-based Neural Network for Autonomous Driving,2022,2022 International Conference on Robotics and Automation (ICRA),82
W3034819467,Modeling Human Driving Behavior Through Generative Adversarial Imitation Learning,2022,IEEE Transactions on Intelligent Transportation Systems,81
W3123730522,LookOut: Diverse Multi-Future Prediction and Planning for Self-Driving,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),73
W3186450693,Vehicle Motion Prediction at Intersections Based on the Turning Intention and Prior Trajectories Model,2021,IEEE/CAA Journal of Automatica Sinica,73
W3189363471,Trajectory Prediction of Preceding Target Vehicles Based on Lane Crossing and Final Points Generation Model Considering Driving Styles,2021,IEEE Transactions on Vehicular Technology,54
W3159782717,Driver lane change intention recognition in the connected environment,2021,Physica A Statistical Mechanics and its Applications,53
W4327662239,Conditional Predictive Behavior Planning With Inverse Reinforcement Learning for Human-Like Autonomous Driving,2023,IEEE Transactions on Intelligent Transportation Systems,50
W4381198967,Differentiable Integrated Motion Prediction and Planning With Learnable Cost Function for Autonomous Driving,2023,IEEE Transactions on Neural Networks and Learning Systems,49
W4225754812,Interactive Trajectory Prediction Using a Driving Risk Map-Integrated Deep Learning Method for Surrounding Vehicles on Highways,2022,IEEE Transactions on Intelligent Transportation Systems,49
W4376457019,"Uncertainties in Onboard Algorithms for Autonomous Vehicles: Challenges, Mitigation, and Perspectives",2023,IEEE Transactions on Intelligent Transportation Systems,45
