ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,9
F4320306076,National Science Foundation,783,4
F4320321878,Natural Science Foundation of Fujian Province,190,1
F4320321595,Federación Española de Enfermedades Raras,182,1
F4320322484,Princess Nourah Bint Abdulrahman University,87,1
F4320335598,Agencia Estatal de Investigación,132,1
F4320323593,United Arab Emirates University,95,1
F4320315885,Australian Government,127,1
F4320334764,Japan Society for the Promotion of Science,407,1
F4320307102,Intel Corporation,136,1
F4320334315,Committee for the Advancement of Learning and Teaching,2,1
F4320335787,Fundamental Research Funds for the Central Universities,428,1
F4320334322,HORIZON EUROPE Framework Programme,88,1
F4320325571,Shenzhen University,98,1
F4320327224,Shaanxi Provincial Science and Technology Department,72,1
F4320334704,Australian Research Council,494,1
F4320336379,"Artificial Intelligence and Data Analytics Lab, Prince Sultan University",17,1
F4320321864,Generalitat Valenciana,185,1
F4320327702,Prince Sultan University,66,1
F4320335489,Institute for Information and Communications Technology Promotion,113,1
F4320327517,Foundation for Distinguished Young Talents in Higher Education of Guangdong,63,1
F4320315062,"Ministerio de Ciencia, Innovación y Universidades",164,1
F4320332999,Horizon 2020 Framework Programme,304,1
F4320321038,Fonds National de la Recherche Luxembourg,129,1
F4320337111,Basic and Applied Basic Research Foundation of Guangdong Province,121,1
F4320322922,Department of Science and Technology of Sichuan Province,152,1
F4320321373,Korea University,103,1
F4320320766,Nanyang Technological University,212,1
F4320322835,Ministry of Economic Affairs,88,1
F4320335440,Natural Science Research of Jiangsu Higher Education Institutions of China,118,1
F4320335956,Key Technologies Research and Development Program of Guangzhou,28,1
F4320335777,National Key Research and Development Program of China,503,1
