ID,paperTitle,year,publisher,citationCount
W3119621753,Cybersecurity for autonomous vehicles: Review of attacks and defense,2021,Computers & Security,308
W4312604822,V2X-ViT: Vehicle-to-Everything Cooperative Perception with Vision Transformer,2022,Lecture notes in computer science,230
W4224231583,"Future Directions of Intelligent Vehicles: Potentials, Possibilities, and Perspectives",2022,IEEE Transactions on Intelligent Vehicles,207
W4281644335,"Autonomous Vehicles and Intelligent Automation: Applications, Challenges, and Opportunities",2022,Mobile Information Systems,171
W4286544732,V2X-Sim: Multi-Agent Collaborative Perception Dataset and Benchmark for Autonomous Driving,2022,IEEE Robotics and Automation Letters,155
W3175984392,A survey on security attacks and defense techniques for connected and autonomous vehicles,2021,Computers & Security,145
W3155776565,6-Layer Model for a Structured Description and Categorization of Urban Traffic and Environment,2021,IEEE Access,143
W3210971248,Speech Emotion Recognition Enhanced Traffic Efficiency Solution for Autonomous Vehicles in a 5G-Enabled Space–Air–Ground Integrated Intelligent Transportation System,2021,IEEE Transactions on Intelligent Transportation Systems,135
W3153670168,V2X in 3GPP Standardization: NR Sidelink in Release-16 and Beyond,2021,IEEE Communications Standards Magazine,126
W3214893631,Autonomous Driving Security: State of the Art and Challenges,2021,IEEE Internet of Things Journal,98
W3172086939,"A Survey of Driving Safety With Sensing, Vehicular Communications, and Artificial Intelligence-Based Collision Avoidance",2021,IEEE Transactions on Intelligent Transportation Systems,94
W3217539601,"Vehicular Edge Computing: Architecture, Resource Management, Security, and Challenges",2021,ACM Computing Surveys,86
W4205797172,Level-5 Autonomous Driving—Are We There Yet? A Review of Research Literature,2022,ACM Computing Surveys,81
W3211003315,EMP,2021,Proceedings of the 28th Annual International Conference on Mobile Computing And Networking,78
W4207001164,On the Integration of Enabling Wireless Technologies and Sensor Fusion for Next-Generation Connected and Autonomous Vehicles,2022,IEEE Access,75
W4352977781,Learning for Vehicle-to-Vehicle Cooperative Perception Under Lossy Communication,2023,IEEE Transactions on Intelligent Vehicles,75
W3166805882,Machine-Learning-Enabled Cooperative Perception for Connected Autonomous Vehicles: Challenges and Opportunities,2021,IEEE Network,75
W4377298394,"Milestones in Autonomous Driving and Intelligent Vehicles—Part I: Control, Computing System Design, Communication, HD Map, Testing, and Human Behaviors",2023,IEEE Transactions on Systems Man and Cybernetics Systems,70
W4389818067,"Vehicle-to-everything (V2X) in the autonomous vehicles domain – A technical review of communication, sensor, and AI technologies for road user safety",2023,Transportation Research Interdisciplinary Perspectives,69
W4312683763,Impacts of Connected and Automated Vehicles on Road Safety and Efficiency: A Systematic Literature Review,2022,IEEE Transactions on Intelligent Transportation Systems,67
