ID,publisher,publishedCount,avgCitation
S144771191,IEEE Transactions on Intelligent Transportation Systems,5,76.6
S10936095,IEEE Transactions on Vehicular Technology,4,39.75
S2485537415,IEEE Access,4,66.75
S186584794,IEEE Network,3,54.333333333333336
S4210199657,IEEE Transactions on Intelligent Vehicles,3,110.33333333333333
S4210189194,IOP Conference Series Materials Science and Engineering,2,6.5
S157921468,ACM Computing Surveys,2,83.5
S12529635,Computers & Security,2,226.5
S101949793,Sensors,2,6.0
S4210192233,International Journal of Vehicle Performance,1,13.0
S89543202,ISA Transactions,1,35.0
S4210209078,IEEE Transactions on Systems Man and Cybernetics Systems,1,70.0
S2480266640,IEEE Internet of Things Journal,1,98.0
S74726891,Applied Intelligence,1,66.0
S4210239405,IEEE Open Journal of Intelligent Transportation Systems,1,40.0
S4210230100,Transportation Research Interdisciplinary Perspectives,1,69.0
S152111507,Mobile Information Systems,1,171.0
S64511102,Transportation Research Part C Emerging Technologies,1,18.0
S145575934,Transportation Research Record Journal of the Transportation Research Board,1,20.0
S4210228075,Computers,1,8.0
