ID,name,hIndex,lastInstitution,numberOfWork
A5033886992,Manzoor Ahmed Khan,21,Shaukat Khanum Memorial Cancer Hospital and Research Center,4
A5068374815,Jiaqi Ma,35,Zhongkai University of Agriculture and Engineering,4
A5072073374,Chen Lv,64,Wuhan University,3
A5077796279,Javier Gozálvez,37,Universitat de Miguel Hernández d'Elx,2
A5017149914,Hesham El‐Sayed,20,United Arab Emirates University,2
A5013555492,Miguel Sepulcre,31,Universitat de Miguel Hernández d'Elx,2
A5081922991,Baldomero Coll-Perales,16,Universitat de Miguel Hernández d'Elx,2
A5113600509,Fei‐Yue Wang,95,Hiroshima University,2
A5023185891,Shunsuke Aoki,15,Turing Institute,1
A5104053889,Ragunathan Rajkumar,42,Carnegie Mellon University,1
A5052586688,Daxin Tian,36,Beihang University,1
A5045398354,Yuchuan Fu,17,Xidian University,1
A5083695605,Henry Liu,60,Shanghai Medical College of Fudan University,1
A5005383495,Matthias Althoff,51,Technical University of Munich,1
A5100420016,F. Richard Yu,109,Carleton University,1
A5042147260,Ryan Gerdes,20,Virginia Tech,1
A5020785449,Gokulnath Thandavarayan,9,Universitat de Miguel Hernández d'Elx,1
A5015340798,Changle Li,40,Shaanxi University of Chinese Medicine,1
A5031991761,Dongpu Cao,48,Tsinghua University,1
A5089129333,Sergei S. Avedisov,14,Toyota Motor North America (United States),1
A5058120371,Ximeng Liu,60,Fuzhou University,1
A5100693517,Ying He,18,Shenzhen University,1
A5041541232,Gautam Srivastava,69,Brandon University,1
A5053978714,Onur Altintas,25,Toyota Motor North America (United States),1
A5003964842,Seong Hoon Jeong,31,Korea Institute of Toxicology,1
A5003397713,Robson E. De Grande,18,Brock University,1
A5009044318,Raphaël Frank,17,University of Luxembourg,1
A5113050304,Lutz Eckstein,24,RWTH Aachen University,1
A5065426559,Geraldo P. Rocha Filho,20,Universidade de Brasília,1
A5065426559,Geraldo P. Rocha Filho,20,Southwest Bahia State University,1
A5024670505,Takayuki Shimizu,19,Toyota Motor Corporation (Switzerland),1
A5007428030,Qing Yang,27,University of North Texas,1
A5062676037,Edmundo R. M. Madeira,27,Universidade Estadual de Campinas (UNICAMP),1
A5020896290,Qi Zhu,35,Northwestern University,1
A5091602017,Huy Kang Kim,34,Korea University,1
A5040978564,Tom H. Luan,54,Xi'an Jiaotong University,1
A5026193065,Marianne A. Azer,19,Nile University,1
A5026193065,Marianne A. Azer,19,National Telecommunications Institute,1
A5114911316,Li Li,56,Beihang University,1
A5054082735,Khaled Rabieh,13,Metropolitan State University,1
A5034201659,Van-Linh Nguyen,14,National Chung Cheng University,1
A5076994242,Keping Yu,65,Hosei University,1
A5084330488,Po‐Ching Lin,19,National Chung Cheng University,1
A5091912819,Alberto Petrillo,25,University of Naples Federico II,1
A5100419573,Honggang Wang,53,Yeshiva University,1
A5000966033,Adarsh Kumar,25,University of Petroleum and Energy Studies,1
A5101768344,Takamasa Higuchi,21,Toyota Motor Corporation (Japan),1
A5041541232,Gautam Srivastava,69,SBS CyberSecurity (United States),1
A5041541232,Gautam Srivastava,69,Prince Mohammad bin Fahd University,1
A5100351449,Ming Li,36,State Grid Corporation of China (China),1
