ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,23
F4320321543,China Postdoctoral Science Foundation,421,6
F4320335777,National Key Research and Development Program of China,503,5
F4320335787,Fundamental Research Funds for the Central Universities,428,3
F4320322769,Natural Science Foundation of Jiangsu Province,328,2
F4320335773,National High-tech Research and Development Program,133,1
F4320321309,University of Ulsan,50,1
F4320335785,Project 211,147,1
F4320326978,State Key Laboratory of Software Development Environment,44,1
F4320333596,Key Technology Research and Development Program of Shandong,133,1
F4320322919,Natural Science Foundation of Beijing Municipality,296,1
F4320334704,Australian Research Council,494,1
F4320335796,Program of Shanghai Academic Research Leader,120,1
F4320326182,Six Talent Peaks Project in Jiangsu Province,145,1
F4320327777,Jiangsu Provincial Key Research and Development Program,100,1
F4320307791,Cisco Systems,62,1
F4320328119,National University's Basic Research Foundation of China,146,1
F4320336618,Science and Technology Program of Suzhou,42,1
F4320321572,Beijing Municipal Commission of Education,123,1
F4320320696,"Agency for Science, Technology and Research",223,1
F4320329553,Bundesministerium für Arbeit und Soziales,19,1
F4320326493,Niedersächsisches Ministerium für Wissenschaft und Kultur,61,1
F4320306076,National Science Foundation,783,1
F4320322163,Natural Science Foundation of Hebei Province,166,1
F4320320766,Nanyang Technological University,212,1
F4320336405,Special Project for Research and Development in Key areas of Guangdong Province,89,1
F4320333199,"Materials Research Institute, Pennsylvania State University",38,1
F4320327001,State Key Laboratory of Robotics and System,70,1
F4320332299,National Institute of Food and Agriculture,240,1
F4320321133,Chinese Academy of Sciences,439,1
F4320330207,Shanghai Aerospace Science and Technology Innovation Foundation,44,1
