ID,publisher,publishedCount,avgCitation
S101949793,Sensors,5,10.4
S144771191,IEEE Transactions on Intelligent Transportation Systems,5,71.4
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,3,205.33333333333331
S10169007,Knowledge-Based Systems,3,24.333333333333332
S13144211,Expert Systems with Applications,2,51.5
S189694085,IEEE Sensors Journal,2,11.5
S25538012,International Journal of Computer Vision,2,122.0
S4210199657,IEEE Transactions on Intelligent Vehicles,2,28.0
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,2,59.0
S140556538,Applied Soft Computing,1,17.0
S10892749,IEEE Transactions on Instrumentation and Measurement,1,266.0
S235346,Wireless Communications and Mobile Computing,1,8.0
S58031724,IEEE Transactions on Industrial Electronics,1,74.0
S2913398011,World Electric Vehicle Journal,1,23.0
S110206669,Multimedia Tools and Applications,1,56.0
S196734849,Scientific Reports,1,69.0
S185008460,Computer Vision and Image Understanding,1,101.0
S151820558,Pattern Recognition Letters,1,34.0
S4210169448,IEEE Transactions on Artificial Intelligence,1,11.0
S48031226,Journal of Ambient Intelligence and Humanized Computing,1,25.0
