ID,name,country,hIndex,workCountInTopic
I4391012619,Shanghai Artificial Intelligence Laboratory,,86,90
I1291425158,Google (United States),US,576,56
I4210100255,Beijing Academy of Artificial Intelligence,CN,123,54
I4210122302,ShangHai JiAi Genetics & IVF Institute,CN,74,49
I45928872,Alibaba Group (China),CN,139,48
I98301712,Baidu (China),CN,166,40
I4401726805,Megvii (China),,98,28
I4210159102,Huawei Technologies (Sweden),SE,100,27
I2250955327,Huawei Technologies (China),CN,150,26
I4210112150,Institute of Automation,CN,208,25
I4210095624,Alibaba Group (United States),US,103,23
I4210109870,Vi Technology (United States),US,66,21
I2250653659,Tencent (China),CN,202,19
I4210128910,Group Sense (China),HK,138,18
I4210136793,Peng Cheng Laboratory,CN,176,14
I4210113369,Microsoft Research Asia (China),CN,304,13
I60922564,Naver (South Korea),KR,82,13
I4210105595,Institute of Art,PL,152,12
I2252078561,Meta (Israel),IL,245,11
I4210099586,Shenzhen Research Institute of Big Data,CN,88,11
I4210136907,InternetLab,BR,4,11
I4210090176,Institute of Computing Technology,CN,192,11
I4210109712,Max Planck Institute for Informatics,DE,239,9
I4210086143,Alibaba Group (Cayman Islands),KY,61,9
I134446601,Berkeley College,US,282,9
I65181880,Indian Institute of Technology Hyderabad,IN,156,9
I4210156165,Lenovo (China),CN,57,8
I220619192,Valeo (France),FR,73,8
I4210164937,Microsoft Research (United Kingdom),GB,344,7
I4210129579,National Engineering Laboratory of Deep Learning Technology and Application,CN,43,7
I4210116052,Inception Institute of Artificial Intelligence,AE,130,7
I4401726824,Horizon Robotics (China),,51,7
I143910747,TH Bingen University of Applied Sciences,DE,108,7
I4210127558,Australian Centre for Robotic Vision,AU,127,6
I1304085615,Nvidia (United Kingdom),GB,131,6
I4210103986,Jingdong (China),CN,113,6
I168879160,Zhejiang University of Science and Technology,CN,138,5
I4210113480,Mohamed bin Zayed University of Artificial Intelligence,AE,81,5
I123565023,Vietnam National University Ho Chi Minh City,VN,140,5
I4210121405,Centre for Artificial Intelligence and Robotics,IN,52,5
I4401726870,Didi Chuxing (China),,56,4
I4210126580,RIKEN Center for Advanced Intelligence Project,JP,113,4
I4401726920,Aibee (China),,8,4
I4210127509,Vector Institute,CA,126,4
I4210141363,Samsung (Russia),RU,40,4
I4210156404,Institute of Information Engineering,CN,129,4
I4210158001,Incept (United States),US,25,4
I4210142583,Snap (United States),US,77,4
I4210101778,Samsung (United States),US,143,4
I4210151956,Robert Bosch (India),IN,65,3
