ID,publisher,publishedCount,avgCitation
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,4,71.25
S45693802,Neurocomputing,2,15.0
S43295729,Remote Sensing,1,9.0
S58031724,IEEE Transactions on Industrial Electronics,1,20.0
S414566,Pattern Recognition,1,51.0
S10892749,IEEE Transactions on Instrumentation and Measurement,1,7.0
S10169007,Knowledge-Based Systems,1,40.0
S144091109,Autonomous Robots,1,152.0
S30698027,IEEE Transactions on Knowledge and Data Engineering,1,540.0
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,1,121.0
S2485537415,IEEE Access,1,44.0
S27728525,Machine Vision and Applications,1,23.0
S111326731,IEEE Transactions on Geoscience and Remote Sensing,1,12.0
S4210199657,IEEE Transactions on Intelligent Vehicles,1,84.0
S4210169774,IEEE Robotics and Automation Letters,1,70.0
