ID,publisher,hIndex
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,542
S4306417987,Computer Vision and Pattern Recognition,533
S4363607701,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),384
S4210173141,IEEE Transactions on Image Processing,380
S4306419272,International Conference on Computer Vision,371
S4306420609,Neural Information Processing Systems,361
S4306420508,Meeting of the Association for Computational Linguistics,302
S414566,Pattern Recognition,298
S25538012,International Journal of Computer Vision,285
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,282
S4363607795,2009 IEEE Conference on Computer Vision and Pattern Recognition,279
S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),260
S123019304,Neural Networks,244
S45693802,Neurocomputing,242
S4210175523,IEEE Transactions on Neural Networks and Learning Systems,226
S4306419999,International Joint Conference on Artificial Intelligence,224
S115173108,IEEE Transactions on Circuits and Systems for Video Technology,213
S10169007,Knowledge-Based Systems,209
S7560371,Information Fusion,195
S137030581,IEEE Transactions on Multimedia,183
S185008460,Computer Vision and Image Understanding,176
S4306419637,International Conference on Learning Representations,170
S4363607734,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),124
S4363608757,Proceedings of the 30th ACM International Conference on Multimedia,122
S74726891,Applied Intelligence,122
S4363607748,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),114
S4363607702,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",113
S2729999759,Transactions of the Association for Computational Linguistics,112
S4363607707,2022 International Joint Conference on Neural Networks (IJCNN),99
S4363607719,2022 IEEE International Conference on Image Processing (ICIP),96
S112262039,Multimedia Systems,89
S140962798,Neural Processing Letters,81
S3035462843,Complex & Intelligent Systems,77
S4363607759,2022 International Conference on Robotics and Automation (ICRA),74
S4363607731,2022 26th International Conference on Pattern Recognition (ICPR),74
S115606517,Frontiers in Neurorobotics,66
S4363607979,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),58
S2488537894,IEEE Transactions on Cognitive and Developmental Systems,58
S4210181928,Advances in computer vision and pattern recognition,58
S166929102,IET Computer Vision,52
S4210169448,IEEE Transactions on Artificial Intelligence,43
S4363608755,Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence,42
S4393918690,IEEE Winter Conference on Applications of Computer Vision,39
S4306506823,Conference on Robot Learning,39
S83210289,Foundations and Trends® in Computer Graphics and Vision,33
S4210237340,Distill,27
S4210194376,AI Open,27
S4306499611,5th Annual Conference on Robot Learning,6
