ID,name,hIndex,lastInstitution,numberOfWork
A5051997091,Liqi Yan,8,Hangzhou Dianzi University,3
A5001594330,Peter Stone,79,The University of Texas at Austin,2
A5013030532,Shanghang Zhang,34,Peking University,2
A5100732450,Hongsheng Li,92,Guangzhou Medical University,2
A5100406050,Ziwei Liu,71,Qingdao University,2
A5100610029,Yikang Li,16,Microscale (United States),2
A5100610029,Yikang Li,16,Hefei National Center for Physical Sciences at Nanoscale,2
A5001594330,Peter Stone,79,Sony Corporation (United States),2
A5100748135,Yu Qiao,95,Kyung Hee University,2
A5101979289,Dongfang Liu,23,Rochester Institute of Technology,2
A5017662025,Xuesu Xiao,22,George Mason University,2
A5100610029,Yikang Li,16,University of Science and Technology of China,2
A5100353783,Xin Li,56,North China University of Science and Technology,1
A5054991337,Guoren Wang,37,Beijing Institute of Technology,1
A5101328218,Xiwen Liang,9,First Affiliated Hospital of Henan University,1
A5034967388,Xiaojun Chang,64,Peking University,1
A5034967388,Xiaojun Chang,64,State Key Laboratory of Remote Sensing Science,1
A5047817959,Amir Globerson,47,Tel Aviv University,1
A5052856441,Jiaya Jia,102,University of Hong Kong,1
A5101082712,Chunjing Xu,38,Hefei Institutes of Physical Science,1
A5058342038,Botian Shi,17,ShangHai JiAi Genetics & IVF Institute,1
A5042251906,Irwin King,75,University of Hong Kong,1
A5101082712,Chunjing Xu,38,Chinese Academy of Sciences,1
A5102923184,Chi Harold Liu,45,Beijing Institute of Technology,1
A5100438001,Kai Chen,55,University of Chinese Academy of Sciences,1
A5100438001,Kai Chen,55,Institute of Information Engineering,1
A5100438001,Kai Chen,55,Chinese Academy of Sciences,1
A5047878798,Xiaodan Liang,79,Hohai University,1
A5079130579,Lu Yang,21,Beijing University of Posts and Telecommunications,1
A5060855982,Yukang Chen,25,Shanghai Fudan Microelectronics (China),1
A5058342038,Botian Shi,17,Shanghai Artificial Intelligence Laboratory,1
A5100336450,Long Chen,50,Universidade de Vigo,1
A5100621319,Zhe Wang,51,East China University of Science and Technology,1
A5023507910,Shijian Lu,63,Quzhou University,1
A5026167547,Zuxuan Wu,40,Fudan University,1
A5063603492,Yadan Luo,23,The University of Queensland,1
A5100415954,Shuang Li,32,North Carolina Agricultural and Technical State University,1
A5078170935,Zi Huang,60,Harvard University,1
A5101696728,Shuai Yi,35,Harbin University of Science and Technology,1
A5100336450,Long Chen,50,Guangxi University of Chinese Medicine,1
A5079619886,Thomas Funkhouser,83,Google (United States),1
A5058342038,Botian Shi,17,Beijing Academy of Artificial Intelligence,1
A5060855982,Yukang Chen,25,Fudan University,1
A5100297958,Jianhua Han,13,Huawei Technologies (China),1
A5100297958,Jianhua Han,13,Hebei University of Engineering,1
A5032584934,Sebastian Scherer,47,Carnegie Mellon University,1
A5066997569,Roei Herzig,15,"University of California, Berkeley",1
A5014498545,Anima Anandkumar,53,California Institute of Technology,1
A5035443556,Lu Sheng,27,Beihang University,1
A5060981901,Garrett Warnell,24,The University of Texas at Austin,1
