ID,name,hIndex,lastInstitution,numberOfWorkInTopic
A5029105520,Trevor Darrell,149,"University of California, Berkeley",298
A5029105520,Trevor Darrell,149,Berkeley College,298
A5074103823,Dacheng Tao,146,Nanyang Technological University,249
A5050342343,Devi Parikh,86,"University of Maryland, Baltimore County",243
A5075906727,Kate Saenko,87,Boston University,231
A5055469774,Jiebo Luo,96,Shantou University,212
A5055469774,Jiebo Luo,96,Shantou University Medical College,212
A5047878798,Xiaodan Liang,79,Hohai University,207
A5001254143,Luc Van Gool,172,ETH Zurich,206
A5089404640,Tat‐Seng Chua,108,National University of Singapore,205
A5038612499,Liqiang Nie,70,Shenzhen Institute of Information Technology,189
A5038612499,Liqiang Nie,70,Harbin Institute of Technology,189
A5100748135,Yu Qiao,95,Kyung Hee University,189
A5024508073,Cees G. M. Snoek,61,University of Amsterdam,187
A5109890544,Cordelia Schmid,118,Université Paris Sciences et Lettres,182
A5017597537,Tao Mei,84,Fudan University,170
A5100377147,Meng Wang,100,Beijing Normal University,168
A5100412937,Liang Lin,95,Fujian Medical University,166
A5100412937,Liang Lin,95,Putian University,166
A5047962986,Yu–Gang Jiang,75,Fudan University,162
A5082634513,Ling Shao,120,University of Chinese Academy of Sciences,160
A5100450462,Li Fei-Fei,137,Stanford University,160
A5101576595,Ali Farhadi,73,University of Washington,159
A5006294869,Chunhua Shen,119,Zhejiang Lab,159
A5006294869,Chunhua Shen,119,Zhejiang University of Technology,159
A5042324027,Hanwang Zhang,65,Nanyang Technological University,157
A5088760097,Ting Yao,55,Chongqing Technology and Business University,152
A5024481540,Marcus Rohrbach,71,Technical University of Darmstadt,151
A5036987388,Jingkuan Song,53,University of Electronic Science and Technology of China,150
A5036987388,Jingkuan Song,53,Tongji University,150
A5028597017,Qingming Huang,78,Xiamen University,146
A5086706224,Alan Yuille,135,Johns Hopkins University,146
A5100381753,Shuicheng Yan,175,Ningbo University of Technology,145
A5080823547,Mubarak Shah,113,University of Central Florida,144
A5100668696,Jiashi Feng,107,Jilian Technology Group (China),142
A5057678172,Andrew Zisserman,174,University of Oxford,139
A5042018181,Nan Duan,56,Peking University,135
A5042018181,Nan Duan,56,Peking University First Hospital,135
A5071983998,Ruslan Salakhutdinov,106,Carnegie Mellon University,133
A5100393506,Qi Tian,82,Central Conservatory of Music,133
A5028024287,Anton van den Hengel,77,The University of Adelaide,132
A5028024287,Anton van den Hengel,77,Australian Centre for Robotic Vision,132
A5040372929,Zeynep Akata,51,Munich Center for Machine Learning,132
A5040372929,Zeynep Akata,51,Technical University of Munich,132
A5003217535,Zheng-Jun Zha,70,University of Science and Technology of China,131
A5032046813,Caiming Xiong,75,China Agricultural University,130
A5051534545,Bernt Schiele,131,Max Planck Institute for Informatics,129
A5046448314,Maosong Sun,80,Tsinghua University,128
A5046448314,Maosong Sun,80,Central Conservatory of Music,128
A5111504451,Qi Tian,72,Southwest University of Science and Technology,127
