ID,paperTitle,year,publisher,citationCount
W4402754159,RCBEVDet: Radar-Camera Fusion in Bird's Eye View for 3D Object Detection,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),22
W4402754144,MonoDiff: Monocular 3D Object Detection and Pose Estimation with Diffusion Models,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),9
W4402809322,CoBEV: Elevating Roadside 3D Object Detection with Depth and Height Complementarity,2024,IEEE Transactions on Image Processing,8
W4392980161,High Precision and Robust Vehicle Localization Algorithm with Visual-LiDAR-IMU Fusion,2024,IEEE Transactions on Vehicular Technology,6
W4402568552,Multi-Modal 3D Object Detection by Box Matching,2024,IEEE Transactions on Intelligent Transportation Systems,5
W4403183568,GUPNet++: Geometry Uncertainty Propagation Network for Monocular 3D Object Detection,2024,IEEE Transactions on Pattern Analysis and Machine Intelligence,4
W4391892573,ODD-M3D: Object-Wise Dense Depth Estimation for Monocular 3-D Object Detection,2024,IEEE Transactions on Consumer Electronics,2
W4399116081,"A re-calibration method for object detection with multi-modal alignment
  bias in autonomous driving",2024,arXiv (Cornell University),1
W4392405551,Multisensor Fusion Network for Unstructured Scene Segmentation With Surface Normal Incorporated,2024,IEEE Sensors Journal,1
W4391691225,Adaptive Point-Line Fusion: A Targetless LiDAR–Camera Calibration Method with Scheme Selection for Autonomous Driving,2024,Sensors,1
W4406063191,SC3D: Semantic-guided and Class-adaptive cross-domain fusion for 3D object detection in autonomous vehicles,2025,Expert Systems with Applications,0
