ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,21
F4320335787,Fundamental Research Funds for the Central Universities,428,10
F4320322843,Natural Science Foundation of Hunan Province,211,3
F4320334593,Natural Sciences and Engineering Research Council of Canada,478,3
F4320335777,National Key Research and Development Program of China,503,3
F4320336008,National College Students Innovation and Entrepreneurship Training Program,75,1
F4320323086,Natural Science Foundation of Liaoning Province,164,1
F4320321681,"Ministry of Trade, Industry and Energy",192,1
F4320325902,Beijing Municipal Science and Technology Commission,195,1
F4320323299,Norges Forskningsråd,266,1
F4320332180,Defense Advanced Research Projects Agency,327,1
F4320334897,Natural Science Foundation of Anhui Province,185,1
F4320334627,Engineering and Physical Sciences Research Council,461,1
F4320322120,National Research Foundation of Korea,445,1
F4320308476,Association of Research Libraries,41,1
F4320322217,"Department of Education, Heilongjiang Province",63,1
F4320324856,Southeast University,121,1
F4320325551,National Defense Pre-Research Foundation of China,54,1
F4320306076,National Science Foundation,783,1
F4320323190,Fujian Provincial Department of Science and Technology,96,1
