ID,publisher,publishedCount,avgCitation
S4210199657,IEEE Transactions on Intelligent Vehicles,6,14.833333333333332
S2485537415,IEEE Access,3,35.66666666666667
S4210185304,Arabian Journal for Science and Engineering,2,34.0
S144771191,IEEE Transactions on Intelligent Transportation Systems,2,25.5
S2484288132,IEEE/CAA Journal of Automatica Sinica,2,23.0
S4220650901,Chinese Journal of Mechanical Engineering,2,21.5
S2898405271,IFAC-PapersOnLine,2,8.0
S4210169774,IEEE Robotics and Automation Letters,2,36.5
S145649206,Intelligent Service Robotics,1,26.0
S17203304,Automatic Control and Computer Sciences,1,23.0
S65230043,Biosystems Engineering,1,45.0
S4210202585,Agriculture,1,43.0
S13961689,IEEE/ASME Transactions on Mechatronics,1,18.0
S101949793,Sensors,1,12.0
S4210202215,The Egyptian International Journal of Engineering Sciences and Technology,1,2.0
S4210221484,Journal of Systems Engineering and Electronics,1,24.0
S144620930,IEEE Transactions on Robotics,1,167.0
S76910236,Ocean Engineering,1,6.0
S184777250,IEEE Transactions on Industrial Informatics,1,81.0
S190787756,Symmetry,1,50.0
