ID,name,hIndex,lastInstitution,numberOfWorkInTopic
A5022300438,Henk Nijmeijer,81,Eindhoven University of Technology,120
A5055872448,Kristin Y. Pettersen,52,Norwegian University of Science and Technology,115
A5069237189,Dayal R. Parhi,41,National Institute of Technology Rourkela,94
A5008501506,Shuzhi Sam Ge,111,National University of Singapore,88
A5100450024,Zhijun Li,81,North China University of Technology,87
A5058644546,Yongchun Fang,61,Laboratoire Angevin de Recherche en Mathématiques,87
A5058644546,Yongchun Fang,61,Laboratoire de Mathématiques d'Orsay,87
A5039664226,Ching‐Chih Tsai,31,National Chung Hsing University,85
A5012966309,Kostas J. Kyriakopoulos,50,New York University,78
A5058107332,Ning Wang,79,Second Affiliated Hospital of Dalian Medical University,71
A5048906141,Howie Choset,66,Carnegie Mellon University,69
A5064231378,Yuanqing Xia,79,Donghua University,69
A5077667229,Panagiotis Tsiotras,57,Georgia Institute of Technology,66
A5083003222,Roland Siegwart,121,ETH Zurich,63
A5078435236,Ming Yue,27,Dalian University of Technology,63
A5100724411,Yibin Li,37,Shandong University,60
A5002930599,Joel W. Burdick,74,California Institute of Technology,59
A5064103302,Hajime Asama,39,The University of Tokyo,59
A5085832924,Thor I. Fossen,76,Norwegian University of Science and Technology,57
A5025640070,Yaonan Wang,56,Capital Medical University,56
A5055348953,Dimos V. Dimarogonas,62,KTH Royal Institute of Technology,51
A5087021192,Vijay Kumar,103,Brown University,49
A5110425492,Brigitte d’Andréa-Novel,34,Institut de Recherche et Coordination Acoustique Musique,49
A5100416422,Youmin Zhang,83,Hodges University,48
A5085176321,Nabil Derbel,24,University of Sfax,46
A5100439073,Jianda Han,41,Nankai University,45
A5078022728,Ilya Kolmanovsky,67,University of Michigan,45
A5078659142,Plamen Petrov,17,Agricultural University Plovdiv,44
A5019906827,Chenguang Yang,80,University of Liverpool,43
A5076144757,Gregor Klančar,19,University of Ljubljana,43
A5040633710,Yoshihiko Nakamura,69,Mohamed bin Zayed University of Artificial Intelligence,43
A5108497455,Jean‐Paul Laumond,47,Institut national de recherche en sciences et technologies du numérique,41
A5016137188,Frank L. Lewis,130,The University of Texas at Arlington,41
A5072550866,Kuniaki Kawabata,20,Futaba (Japan),41
A5072550866,Kuniaki Kawabata,20,Japan Atomic Energy Agency,41
A5100707660,Yunhui Liu,53,Chinese University of Hong Kong,39
A5039171820,Aaron D. Ames,56,"University of California, Berkeley",39
A5025392915,Xuebo Zhang,35,Nankai University,39
A5085942072,Spyros G. Tzafestaş,43,National Technical University of Athens,39
A5014118063,Satoshı Tadokoro,48,Tohoku University,39
A5025349097,Tieshan Li,58,Dalian Maritime University,39
A5025349097,Tieshan Li,58,University of Electronic Science and Technology of China,39
A5059010996,J. Borenstein,52,University of Michigan,39
A5031513104,Shihong Ding,43,Jiangsu University,38
A5100718523,Jong-Hwan Kim,44,Korea University of Science and Technology,36
A5069883451,A. Pedro Aguiar,42,Universidade do Porto,36
A5069883451,A. Pedro Aguiar,42,INESC TEC,36
A5032073606,Anish Pandey,17,KIIT University,36
A5085012064,Antonios Tsourdos,56,Cranfield University,34
A5100624298,Dongbin Zhao,62,Chinese Academy of Sciences,34
