ID,name,country,hIndex,workCountInTopic
I4391012619,Shanghai Artificial Intelligence Laboratory,,86,90
I98301712,Baidu (China),CN,166,40
I4210145145,Nomor Research (Germany),DE,41,31
I4392738231,State Key Laboratory of Automotive Simulation and Control,,102,24
I889804353,Robert Bosch (Germany),DE,186,19
I4210123843,Advanced Technologies Group (United States),US,73,14
I4401727007,Hikvision (China),,23,13
I1332474105,Mercedes-Benz (Germany),DE,57,13
I4391768151,Toyota Research Institute,,110,12
I4210145184,Honda (United States),US,85,10
I1283382300,BMW (Germany),DE,104,9
I4210120115,Robert Bosch (United States),US,95,8
I4210167189,Academy of Military Transportation,CN,42,8
I220619192,Valeo (France),FR,73,8
I4210129579,National Engineering Laboratory of Deep Learning Technology and Application,CN,43,7
I4401726824,Horizon Robotics (China),,51,7
I4210099312,Shandong Jiaotong University,CN,81,7
I4210093665,Toyota Motor North America (United States),US,62,6
I4210113138,Guangzhou Automobile Group (China),CN,49,6
I4210126639,Valeo (Ireland),IE,32,6
I4210127558,Australian Centre for Robotic Vision,AU,127,6
I4210156768,BMW Group (Germany),DE,96,5
I4210135175,Hefei Institute of Technology Innovation,CN,41,5
I4210094894,China Automotive Technology and Research Center,CN,74,5
I49946491,Hyundai Motors (South Korea),KR,81,5
I4210148944,Dà-Jiāng Innovations Science and Technology (China),CN,34,5
I4210135257,Volvo (United States),US,34,5
I1283473643,Honda (Japan),JP,122,5
I4210145005,State Key Laboratory of Vehicle NVH and Safety Technology,CN,67,5
I2802505300,École Supérieure d'Ingénieurs en Génie Électrique,FR,49,4
I4210130704,University of Michigan–Dearborn,US,157,4
I4210131649,China Automotive Engineering Research Institute,CN,51,4
I4401726870,Didi Chuxing (China),,56,4
I4401726920,Aibee (China),,8,4
I4210112099,Valeo (Germany),DE,21,4
I4210158001,Incept (United States),US,25,4
I254181534,ZF Friedrichshafen (Germany),DE,36,4
I4210138446,Kion Group (Germany),DE,3,3
I1311636904,Michigan Department of Transportation,US,83,3
I1322300227,Audi (Germany),DE,53,3
I1293612202,Toyota Motor Corporation (Switzerland),CH,143,3
I4210125392,Centre for Automation and Robotics,ES,77,3
I1319473763,Volkswagen Group (Germany),DE,73,3
I4210120547,Toyota Motor Corporation (Belgium),BE,59,3
I32480017,Florida Polytechnic University,US,74,3
I4210124459,Association of Electronic and Information Technologies,ES,41,3
I917207718,Toyota Industries (United States),US,42,3
I4210151956,Robert Bosch (India),IN,65,3
I4210153068,Dongfeng Motor Group (China),CN,43,3
I4210112270,Qingdao Academy of Intelligent Industries,CN,62,3
