ID,publisher,publishedCount,avgCitation
S144771191,IEEE Transactions on Intelligent Transportation Systems,64,80.984375
S4210199657,IEEE Transactions on Intelligent Vehicles,52,65.11538461538461
S101949793,Sensors,33,39.33333333333333
S4210169774,IEEE Robotics and Automation Letters,23,40.04347826086956
S2485537415,IEEE Access,21,29.047619047619047
S10936095,IEEE Transactions on Vehicular Technology,21,38.1904761904762
S13144211,Expert Systems with Applications,10,29.0
S189694085,IEEE Sensors Journal,9,45.55555555555556
S4210175523,IEEE Transactions on Neural Networks and Learning Systems,8,70.5
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,8,92.75
S4210202905,Electronics,8,22.0
S45693802,Neurocomputing,5,30.4
S43295729,Remote Sensing,4,15.75
S2484288132,IEEE/CAA Journal of Automatica Sinica,4,40.5
S4210205812,Applied Sciences,4,28.75
S110206669,Multimedia Tools and Applications,4,44.25
S2913398011,World Electric Vehicle Journal,4,20.0
S34881539,IEEE Transactions on Automation Science and Engineering,4,31.75
S157921468,ACM Computing Surveys,3,39.33333333333333
S10892749,IEEE Transactions on Instrumentation and Measurement,3,20.0
