ID,publisher,hIndex
S10936095,IEEE Transactions on Vehicular Technology,271
S188336720,Accident Analysis & Prevention,247
S144771191,IEEE Transactions on Intelligent Transportation Systems,245
S64511102,Transportation Research Part C Emerging Technologies,217
S133768115,Robotics and Autonomous Systems,172
S144091109,Autonomous Robots,149
S51141438,Transportation Research Part F Traffic Psychology and Behaviour,145
S4210169774,IEEE Robotics and Automation Letters,136
S84525459,Journal of Safety Research,134
S151299380,Journal of Field Robotics,131
S59320183,Vehicle System Dynamics,127
S4363607734,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),124
S4363607748,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),114
S2484288132,IEEE/CAA Journal of Automatica Sinica,105
S4210185684,Springer tracts in advanced robotics,97
S4363605370,2022 IEEE Intelligent Vehicles Symposium (IV),92
S4306422571,IEEE Intelligent Vehicles Symposium,91
S2764743394,Transportation research procedia,87
S98855836,IEEE Vehicular Technology Magazine,85
S2898405271,IFAC-PapersOnLine,85
S4210199657,IEEE Transactions on Intelligent Vehicles,84
S75054922,Journal of Advanced Transportation,81
S196493665,Traffic Injury Prevention,80
S16239639,Proceedings of the Institution of Mechanical Engineers Part D Journal of Automobile Engineering,80
S169266912,International Journal of Advanced Robotic Systems,80
S155689059,IET Intelligent Transport Systems,75
S4363607759,2022 International Conference on Robotics and Automation (ICRA),74
S131000621,IEEE Intelligent Transportation Systems Magazine,72
S4210193350,Drones,70
S172631016,Journal of Intelligent Transportation Systems,69
S4210230100,Transportation Research Interdisciplinary Perspectives,68
S33562827,IEEE Intelligent Systems and their Applications,66
S2480748589,Vehicular Communications,66
S88959691,IATSS Research,58
S93626530,International Journal of Automotive Technology,58
S4363608079,2022 International Conference on Unmanned Aircraft Systems (ICUAS),57
S4363607737,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),56
S70176213,International Journal of Vehicle Design,56
S2913398011,World Electric Vehicle Journal,55
S4363607746,"2022 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",54
S161318153,International Journal of Crashworthiness,53
S2764959558,International Journal of Transportation Science and Technology,50
S4363607959,2023 IEEE International Conference on Consumer Electronics (ICCE),42
S2498450034,Transportmetrica B Transport Dynamics,40
S4306506823,Conference on Robot Learning,39
S4210198592,IEEE Intelligent Vehicles Symposium,39
S4210191367,Lecture notes in mobility,37
S4210194039,Array,37
S4393918190,IEEE/ION Position Location and Navigation Symposium,34
S4210171762,EURASIP Journal on Embedded Systems,34
